Author,Political Orientation,Quotes
Howard Zinn,Left,"The colonies, it seems, were societies of contending classes"
Howard Zinn,Left,"The president, the secretary of state, and the secretary of defense were lying to the American public"
Howard Zinn,Left,"I lay back on my bunk and thought about people I love, and how lucky I was to be white and not poor and just passing briefly through a system which is a permanent hell for so many."
Howard Zinn,Left,"Three years before the terrible events of September 11, 2001, a former lieutenant colonel in the U.S. Air Force, Robert Bowman, who had flown 101 combat missions in Vietnam, and then had become a Catholic bishop, commented on the terrorist bombings of the U.S. embassies in Kenya and Tanzania. In an article in the National Catholic Reporter he wrote about the roots of terrorism: We are not hated because we practice democracy, value freedom, or uphold human rights. We are hated because our government denies these things to people in Third World countries whose resources are coveted by our multinational corporations. That hatred we have sown has come back to haunt us in the form of terrorism. . . . Instead of sending our sons and daughters around the world to kill Arabs so we can have the oil under their sand, we should send them to rebuild their infrastructure, supply clean water, and feed starving children. . . . In short, we should do good instead of evil. Who would try to stop us? Who would hate us? Who would want to bomb us? That is the truth the American people need to hear."
Howard Zinn,Left,"Free white workers were better off than slaves or servants, but they still resented unfair treatment by the wealthier classes."
Howard Zinn,Left,"There was an idea in the air, becoming clearer and stronger, an idea not just in the theories of Karl Marx but in the dreams of writers and artists through the ages: that people might cooperatively use the treasures of the earth to make life better for everyone, not just a few."
Howard Zinn,Left,"Morgan then formed the U.S. Steel Corporation, combining Carnegie’s corporation with others. He sold stocks and bonds for $1,300,000,000 (about 400 million more than the combined worth of the companies) and took a fee of 150 million for arranging the consolidation. How could dividends be paid to all those stockholders and bondholders? By making sure Congress passed tariffs keeping out foreign steel; by closing off competition and maintaining the price at $28 a ton; and by working 200,000 men twelve hours a day for wages that barely kept their families alive. And so it went, in industry after industry"
Howard Zinn,Left,"IWW organizer Joseph Ettor said: If the workers of the world want to win, all they have to do is recognize their own solidarity. They have nothing to do but fold their arms and the world will stop. The workers are more powerful with their hands in their pockets than all the property of the capitalists. . . ."
Howard Zinn,Left,"Percy Bysshe Shelley’s Mask of Anarchy. . . . Rise like lions after slumber In unvanquishable number! Shake your chains to earth, like dew Which in sleep had fallen on you"
Howard Zinn,Left,"Roosevelt was as much concerned to end the oppression of Jews as Lincoln was to end slavery during the Civil War; their priority in policy (whatever their personal compassion for victims of persecution) was not minority rights, but national power."
Howard Zinn,Left,"I see policemen on horses galloping through the crowd, and hitting people. While I'm just taking this in, I am spun around and hit, on the side of the head, and knocked out. It had suddenly come home to me that, hey, I guess the police are not neutral. I guess the government is not neutral. . . . It was a turning point in my political consciousness."
Howard Zinn,Left,"If racism can’t be shown to be natural, then it is the result of certain conditions, and we are impelled to eliminate those conditions."
Howard Zinn,Left,We overestimate the power of people who become cogs in giant organizations. The fact that they become cogs actually limits what they can do. . . . There’s something very corrupting that happens to people who think they’re going to work from inside a corrupt system.
Howard Zinn,Left,"The owners of factories are more concerned than other classes and interests in the intelligence of their laborers. When the latter are well-educated and the former are disposed to deal justly, controversies and strikes can never occur, nor can the minds of the masses be prejudiced by demagogues and controlled by temporary and factious considerations."
Howard Zinn,Left,"Control in modern times requires more than force, more than law. It requires that a population dangerously concentrated in cities and factories, whose lives are filled with cause for rebellion, be taught that all is right as it is. And so, the schools, the churches, the popular literature taught that to be rich was a sign of superiority, to be poor a sign of personal failure, and that the only way upward for a poor person was to climb into the ranks of the rich by extraordinary effort and extraordinary luck."
Howard Zinn,Left,"The pretense continued over the generations, helped by all-embracing symbols, physical or verbal: the flag, patriotism, democracy, national interest, national defense, national security. The slogans were dug into the earth of American culture like a circle of covered wagons on the western plain, from inside of which the white, slightly privileged American could shoot to kill the enemy outside"
Howard Zinn,Left,"Jackson began raids into Florida, arguing it was a sanctuary for escaped slaves and for marauding Indians. Florida, he said, was essential to the defense of the United States. It was that classic modern preface to a war of conquest. Thus began the Seminole War of 1818, leading to the American acquisition of Florida. It appears on classroom maps politely as Florida Purchase, 1819"
Howard Zinn,Left,"The reward for participating in a movement for social justice is not the prospect of future victory. It is the exhilaration of standing together with other people, taking risks together, enjoying small triumphs and enduring disheartening setbacks"
Howard Zinn,Left,"the media, like the politicians, do not take note of rebellion until it is too large to be ignored."
Howard Zinn,Left,"True, fascism was not to be tolerated by decent people. But neither was racism or colonialism or slave labor camps"
Howard Zinn,Left,"We see then, in the first years of the Constitution, that some of its provisions"
Howard Zinn,Left,"As many as half the people were not even considered by the Founding Fathers as among Bailyn’s contending powers in society. They were not mentioned in the Declaration of Independence, they were absent in the Constitution, they were invisible in the new political democracy. They were the women of early America."
Howard Zinn,Left,"Against the claims of a violent human nature there is enormous historical evidence that people, when free of a manufactured nationalist or religious hysteria, are more inclined to be compassionate than cruel. When citizens have an opportunity to learn of vicious acts committed by their own governments, they react with indignation and protest.So long as atrocities remain remote, abstract, they will be tolerated, even by decent people."
Howard Zinn,Left,"When private bands of fanatics commit atrocities we call them terrorists, which they are, and have no trouble dismissing their reasons. But when governments do the same, and on a much larger scale, the word terrorism is not used, and we consider it a sign of our democracy that the acts become subject to debate. If the word terrorism has a useful meaning (and I believe it does, because it marks off an act as intolerable, since it involves the indiscriminate use of violence against human beings for some political purpose), then it applies exactly to the bombings of Hiroshima and Nagasaki."
Howard Zinn,Left,"The most powerful reason given for the bombings of Hiroshima and Nagasaki was that they saved the lives of those who would have died in an invasion of Japan. But the official report of the Strategic Bombing Survey, which interrogated seven hundred Japanese officials right after the war, concluded that the Japanese were on the verge of surrender and would certainly have ended the war by December of 1945 even if the bombs had not been dropped on Hiroshima and Nagasaki, and even without an invasion of Japan. Furthermore, the United States, having broken the Japanese code, knew the Japanese were on the verge of surrender."
Howard Zinn,Left,"Twenty-five years later, official segregation is finally gone. Unofficial segregation is being challenged on all fronts. But racism, poverty, and police brutality are still the intertwined realities of black life in the United States."
Howard Zinn,Left,"Revolutionary America may have been a middle-class society, happier and more prosperous than any other in its time, but it contained a large and growing number of fairly poor people, and many of them did much of the actual fighting and suffering between 1775 and 1783: A very old story."
Howard Zinn,Left,"Shortly after Bush took office, a government scientist prepared testimony for a Congressional committee on the dangerous effects of industrial uses of coal and other fossil fuels in contributing to global warming, a depletion of the earth’s protective ozone layer. The White House changed the testimony, over the scientist’s objections, to minimize the danger (Boston Globe, October 29, 1990). Again, business worries about regulation seemed to override the safety of the public. The ecological crisis in the world had become so obviously serious that Pope John Paul II felt the need to rebuke the wealthy classes of the industrialized nations for creating that crisis: Today, the dramatic threat of ecological breakdown is teaching us the extent to which greed and selfishness, both individual and collective, are contrary to the order of creation."
Howard Zinn,Left,"If we are arrested every day, if we are exploited every day, if we are trampled over every day, don’t ever let anyone pull you so low as to hate them. We must use the weapon of love. We must have compassion and understanding for those who hate us. We must realize so many people are taught to hate us that they are not totally responsible for their hate. But we stand in life at midnight, we are always on the threshold of a new dawn."
Howard Zinn,Left,Only one fear was greater than the fear of black rebellion in the new American colonies.
Howard Zinn,Left,"If there are necessary sacrifices to be made for human progress, is it not essential to hold to the principle that those to be sacrificed must make the decision themselves? We can all decide to give up something of ours, but do we have the right to throw into the pyre the children of others, or even our own children, for a progress which is not nearly as clear or present as sickness or health, life or death?"
Howard Zinn,Left,party politics and religion now substituting for class conflict.
Howard Zinn,Left,"There is an underside to every age about which history does not often speak, because history is written from records left by the privileged."
Howard Zinn,Left,...[T]hat combination of inferior status and derogatory thought [is what] we call racism.
Howard Zinn,Left,"Carl Degler says (Out of Our Past): No new social class came to power through the door of the American revolution. The men who engineered the revolt were largely members of the colonial ruling class. George Washington was the richest man in America. John Hancock was a prosperous Boston merchant. Benjamin Franklin was a wealthy printer. And so on. On the other hand, town mechanics, laborers, and seamen, as well as small farmers, were swept into the people by the rhetoric of the Revolution, by the camaraderie of military service, by the distribution of some land. Thus was created a substantial body of support, a national consensus, something that, even with the exclusion of ignored and oppressed people, could be called America."
Howard Zinn,Left,"Another view of the Constitution was put forward early in the twentieth century by the historian Charles Beard (arousing anger and indignation, including a denunciatory editorial in the New York Times). He wrote in his book An Economic Interpretation of the Constitution: Inasmuch as the primary object of a government, beyond the mere repression of physical violence, is the making of the rules which determine the property relations of members of society, the dominant classes whose rights are thus to be determined must perforce obtain from the government such rules as are consonant with the larger interests necessary to the continuance of their economic processes, or they must themselves control the organs of government. In short, Beard said, the rich must, in their own interest, either control the government directly or control the laws by which government operates. Beard applied this general idea to the Constitution, by studying the economic backgrounds and political ideas of the fifty-five men who gathered in Philadelphia in 1787 to draw up the Constitution. He found that a majority of them were lawyers by profession, that most of them were men of wealth, in land, slaves, manufacturing, or shipping, that half of them had money loaned out at interest, and that forty of the fifty-five held government bonds, according to the records of the Treasury Department. Thus, Beard found that most of the makers of the Constitution had some direct economic interest in establishing a strong federal government: the manufacturers needed protective tariffs; the moneylenders wanted to stop the use of paper money to pay off debts; the land speculators wanted protection as they invaded Indian lands; slaveowners needed federal security against slave revolts and runaways; bondholders wanted a government able to raise money by nationwide taxation, to pay off those bonds. Four groups, Beard noted, were not represented in the Constitutional Convention: slaves, indentured servants, women, men without property. And so the Constitution did not reflect the interests of those groups. He wanted to make it clear that he did not think the Constitution was written merely to benefit the Founding Fathers personally, although one could not ignore the $150,000 fortune of Benjamin Franklin, the connections of Alexander Hamilton to wealthy interests through his father-in-law and brother-in-law, the great slave plantations of James Madison, the enormous landholdings of George Washington. Rather, it was to benefit the groups the Founders represented, the economic interests they understood and felt in concrete, definite form through their own personal experience."
Howard Zinn,Left,"the term middle class concealed a fact long true about this country, that, as Richard Hofstadter said: It was . . . a middle-class society governed for the most part by its upper classes. Those upper classes, to rule, needed to make concessions to the middle class, without damage to their own wealth or power, at the expense of slaves, Indians, and poor whites. This bought loyalty. And to bind that loyalty with something more powerful even than material advantage, the ruling group found, in the 1760s and 1770s, a wonderfully useful device. That device was the language of liberty and equality, which could unite just enough whites to fight a Revolution against England, without ending either slavery or inequality."
Howard Zinn,Left,"During elections for the 1776 convention to frame a constitution for Pennsylvania, a Privates Committee urged voters to oppose great and overgrown rich men . . . they will be too apt to be framing distinctions in society. The Privates Committee drew up a bill of rights for the convention, including the statement that an enormous proportion of property vested in a few individuals is dangerous to the rights, and destructive of the common happiness, of mankind; and therefore every free state hath a right by its laws to discourage the possession of such property."
Howard Zinn,Left,"So the real problem, according to Madison, was a majority faction, and here the solution was offered by the Constitution, to have an extensive republic, that is, a large nation ranging over thirteen states, for then it will be more difficult for all who feel it to discover their own strength, and to act in unison with each other. . . . The influence of factious leaders may kindle a flame within their particular States, but will be unable to spread a general conflagration through the other States."
Howard Zinn,Left,Charles Beard warned us that governments
Howard Zinn,Left,"The principle is not that a human being cannot justly own another, but that he cannot own him unless he is loyal to the United States."
Howard Zinn,Left,Would the behavior of the United States during the war
Howard Zinn,Left,It was the new politics of ambiguity
Howard Zinn,Left,"If Chomsky says the educational system is an undemocratic system, you can say, well, you're there, you have a position at MIT. Well, it's perfectly attuned to the American system of control, a very sophisticated system of control that allows just enough dissidence so that those in power can point to the fact that the university is democratic but not enough dissidence to create a real danger to the system."
Howard Zinn,Left,"We need to expose the motives of our political leaders, point out their connections to corporate power, show how huge profits are being made out of death and suffering."
Howard Zinn,Left,"My point is not to grieve for the victims and denounce the executioners. Those tears, that anger, cast into the past, deplete our moral energy for the present. And the lines are not always clear. In the long run, the oppressor is also a victim. In the short run (and so far, human history has consisted only of short runs), the victims, themselves desperate and tainted with the culture that oppresses them, turn on other victims."
Howard Zinn,Left,"All those histories of this country centered on the Founding Fathers and the Presidents weigh oppressively on the capacity of the ordinary citizen to act. They suggest that in times of crisis we must look to someone to save us: in the Revolutionary crisis, the Founding Fathers; in the slavery crisis, Lincoln; in the Depression, Roosevelt; in the Vietnam-Watergate crisis, Carter. And that between occasional crises everything is all right, and it is sufficient for us to be restored to that normal state. They teach us that the supreme act of citizenship is to choose among saviors, by going into a voting booth every four years to choose between two white and well-off Anglo-Saxon males of inoffensive personality and orthodox opinions."
Howard Zinn,Left,. . . the farmer is the manThe Farmer is the manLives on credit till the fallWith the interest rates so highIt's a wonder he don't dieAnd the mortgage man's the one  that gets it all.The farmer is the man The farmer is the manLives on credit till the fallAnd his pants are wearing thinHis condition it's a sinHe's forgot that he's the man that feeds them all.
Howard Zinn,Left,"But the idea of a peace dividend could not be stifled so long as Americans were in need. Shortly after the war, historian Marilyn Young warned:The U.S. can destroy Iraq's highways, but not build its own; create the conditions for epidemic in Iraq, but not offer health care to millions of Americans. It can excoriate Iraqi treatment of the Kurdish minority, but not deal with domestic race relations; create homelessness abroad but not solve it here; keep a half million troops drug free as part of a war, but refuse to fund the treatment of millions of drug addicts at home. . . . . We shall lose the war after we have won it."
Howard Zinn,Left,"Mrs. Fannie Lou Hamer, a sharecropper in Ruleville, Mississippi, became legendary as organizer and speaker. She sang hymns; she walked picket lines with her familiar limp (as a child she contracted polio). She roused people to excitement at mass meetings: I'm sick an' tired o' bein' sick an' tired!"
Howard Zinn,Left,"So, Son, instead of crying, be strong, so as to be able to comfort your mother . . . take her for a long walk in the quiet country, gathering wild flowers here and there. . . . But remember always, Dante, in the play of happiness, don't you use all for yourself only. . . . help the persecuted and the victim because they are your better friends. . . . In this struggle of life you will find more and love and you will be loved."
Howard Zinn,Left,"In two years, through murder, mutilation, or suicide, half of the 250,000 Indians on Haiti were dead."
Howard Zinn,Left,An Ashinabe spring poem translated by Gerald Vizenor:as my eyes look across the prairiei feel the summerin the spring
Howard Zinn,Left,"When he was gassing the Kurds, he was gassing them using chemical weapons that were manufactured in Rochester, New York. And when he was fighting a long and protracted war with Iran, where one million people died, it was the CIA that was funding him. It was U.S. policy that built this dictator. When they didn’t need him, they started imposing sanctions on his people. Sanctions should be directed at people’s governments, not at the people."
Howard Zinn,Left,"The Constitution became even more acceptable to the public at large after the first Congress, responding to criticism, passed a series of amendments known as the Bill of Rights. These amendments seemed to make the new government a guardian of people’s liberties: to speak, to publish, to worship, to petition, to assemble, to be tried fairly, to be secure at home against official intrusion. It was, therefore, perfectly designed to build popular backing for the new government. What was not made clear"
Howard Zinn,Left,"Jackson was a land speculator, merchant, slave trader, and the most aggressive enemy of the Indians in early American history. He became a hero of the War of 1812, which was not (as usually depicted in American textbooks) just a war against England for survival, but a war for the expansion of the new nation, into Florida, into Canada, into Indian territory."
Howard Zinn,Left,"Jackson became a national hero when in 1814 he fought the Battle of Horseshoe Bend against a thousand Creeks and killed eight hundred of them, with few casualties on his side. His white troops had failed in a frontal attack on the Creeks, but the Cherokees with him, promised governmental friendship if they joined the war, swam the river, came up behind the Creeks, and won the battle for Jackson."
Howard Zinn,Left,"Jennings, putting the Indian into the center of the American Revolution"
Howard Zinn,Left,"The day after Congress declared war, the Socialist party met in emergency convention in St. Louis and called the declaration a crime against the people of the United States. In the summer of 1917, Socialist antiwar meetings in Minnesota drew large crowds"
Howard Zinn,Left,"But there is also (though much of this is kept from us, to keep us intimidated and without hope) the bubbling of change under the surface of obedience: the growing revulsion against the endless wars (I think of the Russian women in the nineties, demanding their country end its military intervention in Chechnya, as did Americans during the Vietnam war); the insistence of women all over the world that they will no longer tolerate abuse and subordination"
Howard Zinn,Left,"These groups have long been present in U.S. history. Above all, black and brown dissident groups"
Howard Zinn,Left,"One certain effect of war is to diminish freedom of expression. Patriotism becomes the order of the day, and those who question the war are seen as traitors, to be silenced and imprisoned."
Howard Zinn,Left,"What the [Clinton/Lewinsky scandal] showed was that a matter of personal behavior could crowd out of the public's attention far more serious matters, indeed matters of life and death. The House of Representatives would impeach the president on matters of sexual behavior, but it would not impeach him for endangering the lives of children by welfare reform, or for violating international law in bombing other countries (Iran, Afghanistan, Sudan), or for allowing hundreds of thousands of children to die as a result of economic sanctions (Iraq)."
Howard Zinn,Left,"Is it equitable that 99, rather 999, should suffer for the Extravagance or Grandeur of one, especially when it is considered that men frequently owe their Wealth to the impoverishment of their Neighbors?"
Howard Zinn,Left,"In mid-1965, in McComb, Mississippi, young blacks who had just learned that a classmate of theirs was killed in Vietnam distributed a leaflet: No Mississippi Negroes should be fighting in Viet Nam for the White man’s freedom, until all the Negro People are free in Mississippi. Negro boys should not honor the draft here in Mississippi. Mothers should encourage their sons not to go. . . . No one has a right to ask us to risk our lives and kill other Colored People in Santo Domingo and Viet Nam, so that the White American can get richer."
Howard Zinn,Left,"Once, however, engaged in the inquiry, I was not very long in finding out the true solution of the matter. It was not color, but crime, not God, but man, that afforded the true explanation of the existence of slavery; nor was I long in finding out another important truth, viz: what man can make, man can unmake. . . ."
Howard Zinn,Left,"In his book The African Slave Trade, Basil Davidson contrasts law and in the Congo in the early 16th century with law in Portugal and England. In those European countries, where the idea of private property was becoming powerful, theft was punishable brutally. In England, even as late as 1740, a child could be hanged for stealing a rag of cotton. But in the Congo, communal life persisted. The idea of private property was a strange one, and thefts were punished with fines or various degrees of servitude. A Congolese leader told of the Portuguese legal codes asked a Portuguese once, teasingly, 'What is the penalty in Portugal for anyone who puts his feet on the ground?"
Howard Zinn,Left,"Slavery was immensely profitable to some masters. James Madison told a British visitor shortly after the American Revolution that he could make 257 dollars on every (black slave) in a year, and spend only 12 or 13 dollars on his keep."
Howard Zinn,Left,"Some historians think those first blacks in Virginia were considered as servants, like the white indentured servants brought from Europe. But the strong probability is that, even if they were listed as servants (a more familiar category to the English), they were viewed as being different from white servants, were treated differently, and in fact were slaves. In any case, slavery developed quickly into a regular institution, into the normal labor relation of blacks to whites in the New World. With it developed that special racial feeling"
Howard Zinn,Left,They drew three lessons from the Pequot War: (1) that the Englishmen’s most solemn pledge would be broken whenever obligation conflicted with advantage; (2) that the English way of war had no limit of scruple or mercy; and (3) that weapons of Indian making were almost useless against weapons of European manufacture. These lessons the Indians took to heart.
Howard Zinn,Left,"Behind the English invasion of North America, behind their massacre of Indians, their deception, their brutality, was that special powerful drive born in civilizations based on private property. It was a morally ambiguous drive; the need for space, for land, was a real human need. But in conditions of scarcity, in a barbarous epoch of history ruled by competition, this human need was transformed into the murder of whole peoples. Roger"
Howard Zinn,Left,"Las Casas tells how the Spaniards grew more conceited every day and after a while refused to walk any distance. They rode the backs of Indians if they were in a hurry or were carried on hammocks by Indians running in relays. In this case they also had Indians carry large leaves to shade them from the sun and others to fan them with goose wings. Total control led to total cruelty. The Spaniards thought nothing of knifing Indians by tens and twenties and of cutting slices off them to test the sharpness of their blades. Las Casas tells how two of these so-called Christians met two Indian boys one day, each carrying a parrot; they took the parrots and for fun beheaded the boys."
Howard Zinn,Left,But how can the judgment be made if the benefits and losses cannot be balanced because the losses are either unmentioned or mentioned quickly?
Howard Zinn,Left,"That quick disposal might be acceptable (Unfortunate, yes, but it had to be done) to the middle and upper classes of the conquering and advanced countries. But is it acceptable to the poor of Asia, Africa, Latin America, or to the prisoners in Soviet labor camps, or the blacks in urban ghettos, or the Indians on reservations"
Howard Zinn,Left,"There is not a country in world history in which racism has been more important, for so long a time, as the United States. And"
Howard Zinn,Left,"It is roughly estimated that Africa lost 50 million human beings to death and slavery in those centuries we call the beginnings of modern Western civilization, at the hands of slave traders and plantation owners in Western Europe and America, the countries deemed the most advanced in the world."
Howard Zinn,Left,"We have here a forecast of the long history of American politics, the mobilization of lower-class energy by upper-class politicians, for their own purposes. This was not purely deception; it involved, in part, a genuine recognition of lower-class grievances, which helps to account for its effectiveness as a tactic over the centuries. As"
Howard Zinn,Left,"There is an extent of riches, as well as an extreme of poverty, which, by harrowing the circles of a man’s acquaintance, lessens his opportunities of general knowledge."
Howard Zinn,Left,"In New York you could see the poor lying in the streets with the garbage. There were no sewers in the slums, and filthy water drained into yards and alleys, into the cellars where the poorest of the poor lived, bringing with it a typhoid epidemic in 1837, typhus in 1842. In the cholera epidemic of 1832, the rich fled the city; the poor stayed and died."
Howard Zinn,Left,The evidence was powerful: the Allied powers
Howard Zinn,Left,"Missing from such histories are the countless small actions of unknown people that led up to those great moments. When we understand this, we can see that the tiniest acts of protest in which we engage may become the invisible roots of social change."
Howard Zinn,Left,"The hands of Hitler were filthy, but those of the United States were not clean. Our government had accepted, was still accepting, the subordination of black people in what we claimed was a democratic society. Our government threw Japanese families into concentration camps on the racist supposition that anyone Japanese"
Howard Zinn,Left,"So, we destroyed the German forces (twelve hundred Flying Fortresses bombing several thousand German soldiers!)"
Howard Zinn,Left,"there were 60,000 people living on this island, including the Indians; so that from 1494 to 1508, over three million people had perished from war, slavery, and the mines. Who in future generations will believe this? I myself writing it as a knowledgeable eyewitness can hardly believe it. . . ."
Howard Zinn,Left,"(Twenty five years later the sheriff was gone, but Sherrod was still in Albany, organizing farming cooperatives.)"
Howard Zinn,Left,"And Bernice Johnson, who organized the Albany Freedom Singers and was expelled from Albany State College for her determined involvement in the movement."
Howard Zinn,Left,"Indeed, in 1976, fifteen years after he arrived and was arrested, Charles Sherrod was elected to the Albany city commission."
Howard Zinn,Left,"But I was open to anything my students wanted to do, refusing to accept the idea that a teacher should confine his teaching to the classroom when so much was at stake outside it."
Howard Zinn,Left,The Tonkin incident
Howard Zinn,Left,"him. The government of the United States, he said, was willing to send armed forces halfway around the world for a cause which was incomprehensible, but it was unwilling to send marshals into Mississippi, though asked again and again, to protect civil rights workers from inevitable violence. And now three of them were dead."
Howard Zinn,Left,"A little study of history was instructive. To make the country ours, before and after the American Revolution, we had to displace or annihilate the indigenous people who had lived here for thousands of years. We had expanded by using deception and force, by military forays into Florida to persuade Spain to sell that to us (no money changed hands), by invading Mexico and taking almost half its land."
Howard Zinn,Left,"We used military force to establish American power in Cuba and Puerto Rico, in Haiti and the Dominican Republic, in Central America, in Hawaii and the Philippines."
Howard Zinn,Left,"In the Mexican War, a skirmish between Mexican and American troops on the Texas-Mexico border led President Polk to state that American blood has been shed on American soil, and to ask Congress for war. Actually, the encounter took place in disputed territory, and Polk’s diary shows that he wanted an excuse for war so the United States could take from Mexico what the United States coveted, California and the whole Southwest."
Howard Zinn,Left,"The expulsion of Spain from Cuba (a worthwhile venture) so that the U.S. could take control of Cuba (an unworthy venture) was preceded by a dubious story, never proven, that the Spaniards had exploded the U.S. battleship Maine in Havana harbor. Our seizure of the Philippines (from the Filipinos) was preceded by a manufactured incident between Filipino and U.S. troops. The German sinking of the passenger ship Lusitania in World War I was one of the instances of ruthless submarine warfare given as a reason to enter that war; years afterward, it was disclosed that the Lusitania was not an innocent vessel but a munitions ship whose papers had been doctored."
Howard Zinn,Left,"Black civil rights activists in the South were among the first to resist the draft. SNCC’s Bob Moses joined historian Staughton Lynd and veteran pacifist Dave Dellinger to march in Washington against the war, and Life Magazine had a dramatic photo of the three of them walking abreast, being splattered with red paint by angry super-patriots."
Howard Zinn,Left,"The FBI is supposed to investigate criminal activities, but, like the old Soviet secret police, it seems also to take note of gatherings and public statements where the government is criticized."
Howard Zinn,Left,"That day, throughout the nation, in towns and cities that had never seen an antiwar rally, several million people were protesting the war. It was the largest public demonstration in the nation’s history. On Moratorium Day I was racing from one antiwar rally to another, as so many others were, our voices hoarse by the end of the day."
Howard Zinn,Left,"I’ll never forget that day. It confirmed what I learned from my Spelman years, that education becomes most rich and alive when it confronts the reality of moral conflict in the world.)"
Howard Zinn,Left,"In late April of 1971, several thousand antiwar veterans converged on Washington, to camp out, to lobby. As one of them said, It’s the first time in this country’s history that the men who fought a war have come to Washington to demand its halt while the war is still going on. In the final event of the veterans’ Washington encampment, a thousand of them, many in wheelchairs or on crutches, tossed their medals over a fence that the police had built around the Capitol steps to keep them away. As they did so, one by one, they made personal statements. One of them said, I’m not proud of these medals. I’m not proud of what I did to receive them. I was in Vietnam for a year and … we never took one prisoner alive. An Air Force man said that what he had done was a disservice to his country. As far as I’m concerned, I’m now serving my country."
Howard Zinn,Left,"It was an example of a common phenomenon in American journalism (perhaps in social criticism in general), the shallow focusing on agents or on individuals, thus concealing what a deeper analysis would reveal"
Howard Zinn,Left,I think of Charles Sherrod. He was a SNCC field secretary and one of those young people who went into the toughest towns in the deep South to set up Freedom Houses and help local folk organize to change their lives.
Howard Zinn,Left,"What black men, women, children did in Albany at that time was heroic. They overcame a century of passivity, and they did it without the help of the national government. They learned that despite the Constitution, despite the promises, despite the political rhetoric of the government, whatever they accomplished in the future would have to come from them."
Howard Zinn,Left,"It appeared March 9, 1960, dramatically, on a full page of the Constitution under a huge headline, AN APPEAL FOR HUMAN RIGHTS, and it created a sensation: We … have joined our hearts, minds, and bodies in the cause of gaining those rights which are inherently ours as members of the human race and as citizens of the United States.… We do not intend to wait placidly for those rights which are already legally and morally ours to be meted out to us one at a time.… We want to state clearly and unequivocally that we cannot tolerate, in a nation professing democracy and among people professing Christianity, the discriminatory conditions under which the Negro is living today in Atlanta, Georgia."
Howard Zinn,Left,"Living in Atlanta those seven tumultuous years, I learned not to trust the Northern stereotype of white Southerners as incorrigible racists. Yankee self-righteousness ignored the depth of race hatred in places like Boston or New York."
Howard Zinn,Left,"There have always been Southern whites who, at great risk, pioneered in the movement for racial justice. I was lucky to know some of them: Myles Horton, founder of the Highlander Folk School in Tennessee; Carl and Anne Braden, editors of the Southern Courier in Louisville, Kentucky; Pat Watters and Margaret Long, journalists with the Atlanta Constitution; reporters Fred Powledge and Jack Nelson."
Howard Zinn,Left,"Frazier said that the Negro middle class had borrowed its bourgeois style and traditional religion from the white middle class, which was itself intellectually and culturally barren. Black people should look to their own heritage, he said, create their own culture."
Howard Zinn,Left,"It was the job of education, he said, to smash through this make-believe and give black people a realistic picture of themselves and of the world."
Howard Zinn,Left,"In the question period someone asked, Why did you write so harshly in Black Bourgeoisie? His response brought laughter and applause from the audience: My friend, white people have bamboozled us. Preachers have bamboozled us. Teachers have bamboozled us, and kept us all bamboozled. We need someone to debamboozle us!"
Howard Zinn,Left,"traveled in those days with a cheap tape recorder. (I had written to my alma mater, Columbia University, which had an oral history project, suggesting that they take time off from interviewing ex–generals and ex–secretaries of state and send someone south to record the history being made every day by obscure people. One of the nation’s richest universities wrote back saying something like, An excellent idea. We don’t really have the resources.) I recorded Gregory’s performance with my little machine. He spoke for two hours, lashing out at white Southern society with passion and with his extraordinary wit. Never in the history of this area had a black man stood like this on a public platform ridiculing and denouncing white officials to their faces. The crowd loved it and applauded"
Howard Zinn,Left,"Then Gregory lowered his voice, suddenly serious. But it looks like we got to do it the hard way, and stay down here, and educate them."
Howard Zinn,Left,"What the movement accomplished was historic, but soon it came up against obstacles far more formidable than the signs and badges of racial segregation. First, an economic system that, while lavishly rewarding some people and giving enough to others to gain their loyalty, consigns a substantial part of the population to misery, generation after generation. And along with this, a national ideology so historically soaked in racism that nonwhite people inevitably form the largest part of the permanent poor."
Howard Zinn,Left,"Your Honor, years ago I recognized my kinship with all living beings, and I made up my mind that I was not one bit better than the meanest on earth. I said then, and I say now, that while there is a lower class, I am in it, while there is a criminal element, I am of it, while there is a soul in prison, I am not free."
Howard Zinn,Left,"I told of Henry David Thoreau’s decision to break the law in protest against our invasion of Mexico in 1846, and began to give a brief history of civil disobedience in the United States."
Howard Zinn,Left,Here was the traditional device by which those in charge of any social order mobilize and discipline a recalcitrant population
Howard Zinn,Left,What if these different despised groups
Howard Zinn,Left,"In spite of such preconceptions about blackness, in spite of special subordination of blacks in the Americas in the seventeenth century, there is evidence that where whites and blacks found themselves with common problems, common work, common enemy in their master, they behaved toward one another as equals. As one scholar of slavery, Kenneth Stampp, has put it, Negro and white servants of the seventeenth century were remarkably unconcerned about the visible physical differences."
Howard Zinn,Left,"The essential ingredients of these struggles for justice are human beings who, if only for a moment, if only while beset with fears, step out of line and do something, however small. And even the smallest, most unheroic of acts adds to the store of kindling that may be ignited by some surprising circumstance into tumultuous change."
