,Author,Quotes,Political Orientation,auto,texicity
200,Jonathan Haidt,"I didn’t want to make the classic mistake of amateur evolutionary theorists, which is to pick a trait and then ask: Can I think of a story about how this trait might once have been adaptive? The answer to that question is almost always yes because reasoning can take you wherever you want to go.",Moderate,0,want make classic mistake amateur evolutionary theorists pick trait ask think story trait might adaptive answer question almost always yes reasoning take wherever want go
201,Jonathan Haidt,"• Hume’s pluralist, sentimentalist, and naturalist approach to ethics is more promising than utilitarianism or deontology for modern moral psychology. As a first step in resuming Hume’s project, we should try to identify the taste receptors of the righteous mind.",Moderate,0,hume pluralist sentimentalist naturalist approach ethics promising utilitarianism deontology modern moral psychology first step resuming hume project try identify taste receptors righteous mind
202,Jonathan Haidt,conservative caring is somewhat different,Moderate,0,conservative caring somewhat different
203,Jonathan Haidt,"loyalty tend to be teams and coalitions for boys, in contrast to two-person relationships for girls.21",Moderate,0,loyalty tend teams coalitions boys contrast two person relationships girls 
204,Jonathan Haidt,"If you’ve ever felt a flash of distaste when a salesperson called you by first name without being invited to do so, or if you felt a pang of awkwardness when an older person you have long revered asked you to call him by first name, then you have experienced the activation of some of the modules that comprise the Authority/subversion foundation.",Moderate,0,ever felt flash distaste salesperson called first name without invited felt pang awkwardness older person long revered asked call first name experienced activation modules comprise authority subversion foundation
205,Jonathan Haidt,"When people within a hierarchical order act in ways that negate or subvert that order, we feel it instantly, even if we ourselves have not been directly harmed. If authority is in part about protecting order and fending off chaos, then everyone has a stake in supporting the existing order and in holding people accountable for fulfilling the obligations of their station.35",Moderate,0,people within hierarchical order act ways negate subvert order feel instantly even directly harmed authority part protecting order fending chaos everyone stake supporting existing order holding people accountable fulfilling obligations station 
207,Jonathan Haidt,"Cultures differ in their attitudes toward immigrants, and there is some evidence that liberal and welcoming attitudes are more common in times and places where disease risks are lower.",Moderate,0,cultures differ attitudes toward immigrants evidence liberal welcoming attitudes common times places disease risks lower
208,Jonathan Haidt,"If Mill’s harm principle prevents us from outlawing their actions, then Mill’s harm principle seems inadequate as the basis for a moral community. Whether or not God exists, people feel that some things, actions, and people are noble, pure, and elevated; others are base, polluted, and degraded.",Moderate,0,mill harm principle prevents us outlawing actions mill harm principle seems inadequate basis moral community whether god exists people feel things actions people noble pure elevated others base polluted degraded
209,Jonathan Haidt,"The philosopher Leon Kass is among the foremost spokesmen for Shweder’s ethic of divinity, and for the Sanctity foundation on which it is based. Writing in 1997, the year after Dolly the sheep became the first cloned mammal, Kass lamented the way that technology often erases moral boundaries and brings people ever closer to the dangerous belief that they can do anything they want to do. In an essay titled The Wisdom of Repugnance, Kass argued that our feelings of disgust can sometimes provide us with a valuable warning that we are going too far, even when we are morally dumbfounded and can’t justify those feelings by pointing to victims:",Moderate,0,philosopher leon kass among foremost spokesmen shweder ethic divinity sanctity foundation based writing  year dolly sheep became first cloned mammal kass lamented way technology often erases moral boundaries brings people ever closer dangerous belief anything want essay titled wisdom repugnance kass argued feelings disgust sometimes provide us valuable warning going far even morally dumbfounded justify feelings pointing victims
210,Jonathan Haidt,"Indeed, in this age in which everything is held to be permissible so long as it is freely done, in which our given human nature no longer commands respect, in which our bodies are regarded as mere instruments of our autonomous rational wills, repugnance may be the only voice left that speaks up to defend the central core of our humanity. Shallow are the souls that have forgotten how to shudder.48",Moderate,0,indeed age everything held permissible long freely done given human nature longer commands respect bodies regarded mere instruments autonomous rational wills repugnance may voice left speaks defend central core humanity shallow souls forgotten shudder 
211,Jonathan Haidt,• The Care/harm foundation,Moderate,0,care harm foundation
212,Jonathan Haidt,• The Fairness/cheating foundation,Moderate,0,fairness cheating foundation
213,Jonathan Haidt,• The Loyalty/betrayal foundation,Moderate,0,loyalty betrayal foundation
214,Jonathan Haidt,• The Authority/subversion foundation,Moderate,0,authority subversion foundation
215,Jonathan Haidt,• The Sanctity/degradation foundation,Moderate,0,sanctity degradation foundation
216,Jonathan Haidt,It is no coincidence that the only Democrat since Franklin Roosevelt to win election and then reelection combined gregariousness and oratorical skill with an almost musical emotionality. Bill Clinton knew how to charm elephants.,Moderate,0,coincidence democrat since franklin roosevelt win election reelection combined gregariousness oratorical skill almost musical emotionality bill clinton knew charm elephants
217,Jonathan Haidt,"became the party of family values, Republicans inherited a powerful network of Christian ideas about sanctity and sexuality that allowed them to portray Democrats as the party of Sodom and Gomorrah.",Moderate,0,became party family values republicans inherited powerful network christian ideas sanctity sexuality allowed portray democrats party sodom gomorrah
218,Jonathan Haidt,"Democrats since the 1960s, in contrast, seemed narrow, too focused on helping victims and fighting for the rights of the oppressed. The Democrats offered just sugar (Care) and salt (Fairness as equality), whereas Republican morality appealed to all five taste receptors.",Moderate,0,democrats since s contrast seemed narrow focused helping victims fighting rights oppressed democrats offered sugar care salt fairness equality whereas republican morality appealed five taste receptors
219,Jonathan Haidt,"A Durkheimian society would value self-control over self-expression, duty over rights, and loyalty to one’s groups over concerns for out-groups.",Moderate,0,durkheimian society would value self control self expression duty rights loyalty one groups concerns groups
220,Jonathan Haidt,"I showed that a Durkheimian society cannot be supported by the Care and Fairness foundations alone.18 You have to build on the Loyalty, Authority, and Sanctity foundations as well.",Moderate,0,showed durkheimian society cannot supported care fairness foundations alone  build loyalty authority sanctity foundations well
222,Jonathan Haidt,"It seems to take more than just a high level of social intelligence to get reciprocal altruism going. It takes the sort of gossiping, punitive, moralistic community that emerged only when language and weaponry made it possible for early humans to take down bullies and then keep them down with a shared moral matrix.43",Moderate,0,seems take high level social intelligence get reciprocal altruism going takes sort gossiping punitive moralistic community emerged language weaponry made possible early humans take bullies keep shared moral matrix 
223,Jonathan Haidt,"Yet punish we do, and our propensity to punish turns out to be one of the keys to large-scale cooperation.",Moderate,0,yet punish propensity punish turns one keys large scale cooperation
224,Jonathan Haidt,"And if the love of political equality rests on the Liberty/oppression and Care/harm foundations rather than the Fairness/cheating foundation, then the Fairness foundation no longer has a split personality; it’s no longer about equality and proportionality. It is primarily about proportionality.",Moderate,0,love political equality rests liberty oppression care harm foundations rather fairness cheating foundation fairness foundation longer split personality longer equality proportionality primarily proportionality
225,Jonathan Haidt,When a few members of a group contributed far more than the others,Moderate,0,members group contributed far others
226,Jonathan Haidt,"Liberal moral matrices rest on the Care/harm, Liberty/oppression, and Fairness/cheating foundations, although liberals are often willing to trade away fairness (as proportionality) when it conflicts with compassion or with their desire to fight oppression.",Moderate,0,liberal moral matrices rest care harm liberty oppression fairness cheating foundations although liberals often willing trade away fairness proportionality conflicts compassion desire fight oppression
227,Jonathan Haidt,"Group selection may or may not be common among other animals, but it happens whenever individuals find ways to suppress selfishness and work as a team, in competition with other teams.",Moderate,0,group selection may may common among animals happens whenever individuals find ways suppress selfishness work team competition teams
228,Jonathan Haidt,found a way to forge a sense of we that extended beyond kinship. We trust and cooperate more readily with people who look and sound like us.69 We expect them to share our values and norms.,Moderate,0,found way forge sense extended beyond kinship trust cooperate readily people look sound like us  expect share values norms
229,Jonathan Haidt,"Our tribal minds make it easy to divide us, but without our long period of tribal living there’d be nothing to divide in the first place. There’d be only small families of foragers",Moderate,0,tribal minds make easy divide us without long period tribal living nothing divide first place small families foragers
230,Jonathan Haidt,After just thirty generations the foxes had become so tame that they could be kept as pets.,Moderate,0,thirty generations foxes become tame could kept pets
231,Jonathan Haidt,"he simply picked the cages that produced the most eggs in each generation. Then he bred all of the hens in those cages to produce the next generation. Within just three generations, aggression levels plummeted. By the sixth generation, the death rate fell from the horrific baseline of 67 percent to a mere 8 percent. Total eggs produced per hen jumped from 91 to 237, mostly because the hens started living longer, but also because they laid more eggs",Moderate,0,simply picked cages produced eggs generation bred hens cages produce next generation within three generations aggression levels plummeted sixth generation death rate fell horrific baseline  percent mere  percent total eggs produced per hen jumped   mostly hens started living longer also laid eggs
232,Jonathan Haidt,"genetic evolution greatly accelerated during the last 50,000 years. The rate at which genes changed in response to selection pressures began rising around 40,000 years ago, and the curve got steeper and steeper after 20,000 years ago.",Moderate,0,genetic evolution greatly accelerated last   years rate genes changed response selection pressures began rising around   years ago curve got steeper steeper   years ago
233,Jonathan Haidt,"If genetic evolution was able to fine-tune our bones, teeth, skin, and metabolism in just a few thousand years as our diets and climates changed, how could genetic evolution not have tinkered with our brains and behaviors as our social environments underwent the most radical transformation in primate history?",Moderate,0,genetic evolution able fine tune bones teeth skin metabolism thousand years diets climates changed could genetic evolution tinkered brains behaviors social environments underwent radical transformation primate history
234,Jonathan Haidt,"Group selection does not require war or violence. Whatever traits make a group more efficient at procuring food and turning it into children makes that group more fit than its neighbors. Group selection pulls for cooperation, for the ability to suppress antisocial behavior and spur individuals to act in ways that benefit their groups. Group-serving behaviors sometimes impose a terrible cost on outsiders (as in warfare). But in general, groupishness is focused on improving the welfare of the in-group, not on harming an out-group.",Moderate,0,group selection require war violence whatever traits make group efficient procuring food turning children makes group fit neighbors group selection pulls cooperation ability suppress antisocial behavior spur individuals act ways benefit groups group serving behaviors sometimes impose terrible cost outsiders warfare general groupishness focused improving welfare group harming group
235,Jonathan Haidt,"But as a psychologist studying morality, I can say that multilevel selection would go a long way toward explaining why people are simultaneously so selfish and so groupish.91",Moderate,0,psychologist studying morality say multilevel selection would go long way toward explaining people simultaneously selfish groupish 
236,Jonathan Haidt,"Words are inadequate to describe the emotion aroused by the prolonged movement in unison that drilling involved. A sense of pervasive well-being is what I recall; more specifically, a strange sense of personal enlargement; a sort of swelling out, becoming bigger than life, thanks to participation in collective ritual.1",Moderate,0,words inadequate describe emotion aroused prolonged movement unison drilling involved sense pervasive well recall specifically strange sense personal enlargement sort swelling becoming bigger life thanks participation collective ritual 
237,Jonathan Haidt,"creating a temporary superorganism. Muscular bonding enabled people to forget themselves, trust each other, function as a unit, and then crush less cohesive groups.",Moderate,0,creating temporary superorganism muscular bonding enabled people forget trust function unit crush less cohesive groups
238,Jonathan Haidt,We have the ability (under special conditions) to transcend self-interest and lose ourselves (temporarily and ecstatically) in something larger than ourselves. That ability is what I’m calling the hive switch.,Moderate,0,ability special conditions transcend self interest lose temporarily ecstatically something larger ability calling hive switch
239,Jonathan Haidt,"If the hive hypothesis is true, then it has enormous implications for how we should design organizations, study religion, and search for meaning and joy in our lives.",Moderate,0,hive hypothesis true enormous implications design organizations study religion search meaning joy lives
240,Jonathan Haidt,"European travelers to every continent witnessed people coming together to dance with wild abandon around a fire, synchronized to the beat of drums, often to the point of exhaustion. In Dancing in the Streets: A History of Collective Joy, Barbara Ehrenreich describes how European explorers reacted to these dances: with disgust.",Moderate,0,european travelers every continent witnessed people coming together dance wild abandon around fire synchronized beat drums often point exhaustion dancing streets history collective joy barbara ehrenreich describes european explorers reacted dances disgust
241,Jonathan Haidt,"why did Europeans give it up? Ehrenreich’s historical explanation is too nuanced to summarize here, but the last part of the story is the rise of individualism and more refined notions of the self in Europe, beginning in the sixteenth century. These cultural changes accelerated during the Enlightenment and the Industrial Revolution. It is the same historical process that gave rise to WEIRD culture in the nineteenth century",Moderate,0,europeans give ehrenreich historical explanation nuanced summarize last part story rise individualism refined notions self europe beginning sixteenth century cultural changes accelerated enlightenment industrial revolution historical process gave rise weird culture nineteenth century
242,Jonathan Haidt,"Durkheim put it: The very act of congregating is an exceptionally powerful stimulant. Once the individuals are gathered together, a sort of electricity is generated from their closeness and quickly launches them to an extraordinary height of exaltation.13",Moderate,0,durkheim put act congregating exceptionally powerful stimulant individuals gathered together sort electricity generated closeness quickly launches extraordinary height exaltation 
243,Jonathan Haidt,"Durkheim believed that these collective emotions pull humans fully but temporarily into the higher of our two realms, the realm of the sacred, where the self disappears and collective interests predominate. The realm of the profane, in contrast, is the ordinary day-to-day world where we live most of our lives, concerned about wealth, health, and reputation, but nagged by the sense that there is, somewhere, something higher and nobler.",Moderate,0,durkheim believed collective emotions pull humans fully temporarily higher two realms realm sacred self disappears collective interests predominate realm profane contrast ordinary day day world live lives concerned wealth health reputation nagged sense somewhere something higher nobler
244,Jonathan Haidt,"Emerson and Darwin each found in nature a portal between the realm of the profane and the realm of the sacred. Even if the hive switch was originally a group-related adaptation, it can be flipped when you’re alone by feelings of awe in nature, as mystics and ascetics have known for millennia.",Moderate,0,emerson darwin found nature portal realm profane realm sacred even hive switch originally group related adaptation flipped alone feelings awe nature mystics ascetics known millennia
245,Jonathan Haidt,"We took such an infinitesimal amount of psilocybin, and yet it connected me to infinity.",Moderate,0,took infinitesimal amount psilocybin yet connected infinity
246,Jonathan Haidt,"a modern version of the muscular bonding that Ehrenreich and McNeill had described. The scene and the experience awed him, shut down his I, and merged him into a giant we.",Moderate,0,modern version muscular bonding ehrenreich mcneill described scene experience awed shut merged giant
247,Jonathan Haidt,"singing in choruses, performing in marching bands, listening to sermons, attending political rallies, and meditating. Most of my students have experienced the switch at least once, although only a few had a life-changing experience. More commonly, the effects fade away within a few hours or days.",Moderate,0,singing choruses performing marching bands listening sermons attending political rallies meditating students experienced switch least although life changing experience commonly effects fade away within hours days
248,Jonathan Haidt,We are conditional hive creatures. We are more likely to mirror and then empathize with others when they have conformed to our moral matrix than when they have violated it.40,Moderate,0,conditional hive creatures likely mirror empathize others conformed moral matrix violated 
249,Jonathan Haidt,"Self-interested employees are Glauconians, far more interested in looking good and getting promoted than in helping the company.43 In contrast, an organization that takes advantage of our hivish nature can activate pride, loyalty, and enthusiasm among its employees and then monitor them less closely.",Moderate,0,self interested employees glauconians far interested looking good getting promoted helping company  contrast organization takes advantage hivish nature activate pride loyalty enthusiasm among employees monitor less closely
250,Jonathan Haidt,transformational leadership)44 generates more social capital,Moderate,0,transformational leadership  generates social capital
251,Jonathan Haidt,Studies show that intergroup competition increases love of the in-group far more than it increases dislike of the out-group.,Moderate,0,studies show intergroup competition increases love group far increases dislike group
252,Jonathan Haidt,"But pitting individuals against each other in a competition for scarce resources (such as bonuses) will destroy hivishness, trust, and morale.",Moderate,0,pitting individuals competition scarce resources bonuses destroy hivishness trust morale
253,Jonathan Haidt,"In fact, a nation that is full of hives is a nation of happy and satisfied people. It’s not a very promising target for takeover by a demagogue offering people meaning in exchange for their souls. Creating a nation of multiple competing groups and parties was, in fact, seen by America’s founding fathers as a way of preventing tyranny.60 More recently, research on social capital has demonstrated that bowling leagues, churches, and other kinds of groups, teams, and clubs are crucial for the health of individuals and of a nation. As political scientist Robert Putnam put it, the social capital that is generated by such local groups makes us smarter, healthier, safer, richer, and better able to govern a just and stable democracy.61",Moderate,0,fact nation full hives nation happy satisfied people promising target takeover demagogue offering people meaning exchange souls creating nation multiple competing groups parties fact seen america founding fathers way preventing tyranny  recently research social capital demonstrated bowling leagues churches kinds groups teams clubs crucial health individuals nation political scientist robert putnam put social capital generated local groups makes us smarter healthier safer richer better able govern stable democracy 
254,Jonathan Haidt,"If people can’t satisfy their need for deep connection in other ways, they’ll be more receptive to a smooth-talking leader who urges them to renounce their lives of selfish momentary pleasure and follow him onward to that purely spiritual existence in which their value as human beings consists.",Moderate,0,people satisfy need deep connection ways receptive smooth talking leader urges renounce lives selfish momentary pleasure follow onward purely spiritual existence value human beings consists
255,Jonathan Haidt,"Durkheim’s idea that we are Homo duplex; we live most of our lives in the ordinary (profane) world, but we achieve our greatest joys in those brief moments of transit to the sacred world, in which we become simply a part of a whole.",Moderate,0,durkheim idea homo duplex live lives ordinary profane world achieve greatest joys brief moments transit sacred world become simply part whole
256,Jonathan Haidt,"You’ve got to look at the ways that religious beliefs work with religious practices to create a religious community.11 Believing, doing, and belonging are three complementary yet distinct aspects of religiosity",Moderate,0,got look ways religious beliefs work religious practices create religious community  believing belonging three complementary yet distinct aspects religiosity
257,Jonathan Haidt,Angry gods make shame more effective as a means of social control.,Moderate,0,angry gods make shame effective means social control
258,Jonathan Haidt,"There is now a great deal of evidence that religions do in fact help groups to cohere, solve free rider problems, and win the competition for group-level survival.",Moderate,0,great deal evidence religions fact help groups cohere solve free rider problems win competition group level survival
259,Jonathan Haidt,"Gods really do help groups cohere, succeed, and outcompete other groups.",Moderate,0,gods really help groups cohere succeed outcompete groups
260,Jonathan Haidt,"Religions that do a better job of binding people together and suppressing selfishness spread at the expense of other religions, but not necessarily by killing off the losers.",Moderate,0,religions better job binding people together suppressing selfishness spread expense religions necessarily killing losers
261,Jonathan Haidt,"In his book Darwin’s Cathedral, Wilson catalogues the ways that religions have helped groups cohere, divide labor, work together, and prosper.",Moderate,0,book darwin cathedral wilson catalogues ways religions helped groups cohere divide labor work together prosper
262,Jonathan Haidt,"Whatever its origins, it’s a great metaphor for the role that gods play in Wilson’s account of religion. Gods (like maypoles) are tools that let people bind themselves together as a community by circling around them. Once bound together by circling, these communities can function more effectively. As Wilson puts it: Religions exist primarily for people to achieve together what they cannot achieve on their own.43",Moderate,0,whatever origins great metaphor role gods play wilson account religion gods like maypoles tools let people bind together community circling around bound together circling communities function effectively wilson puts religions exist primarily people achieve together cannot achieve 
263,Jonathan Haidt,"Gods and religions, in sum, are group-level adaptations for producing cohesiveness and trust. Like maypoles and beehives, they are created by the members of the group, and they then organize the activity of the group. Group-level adaptations, as Williams noted, imply a selection process operating at the group level.",Moderate,0,gods religions sum group level adaptations producing cohesiveness trust like maypoles beehives created members group organize activity group group level adaptations williams noted imply selection process operating group level
264,Jonathan Haidt,But even those who reject all religions cannot shake the basic religious psychology of figure 11.2: doing linked to believing linked to belonging.,Moderate,0,even reject religions cannot shake basic religious psychology figure   linked believing linked belonging
265,Jonathan Haidt,"Does religion make people good or bad? The New Atheists assert that religion is the root of most evil. They say it is a primary cause of war, genocide, terrorism, and the oppression of women.50 Religious believers, for their part, often say that atheists are immoral, and that they can’t be trusted. Even John Locke, one of the leading lights of the Enlightenment, wrote that promises, covenants, and oaths, which are the bonds of human society, can have no hold upon an atheist. The taking away of God, though but even in thought, dissolves all.",Moderate,0,religion make people good bad new atheists assert religion root evil say primary cause war genocide terrorism oppression women  religious believers part often say atheists immoral trusted even john locke one leading lights enlightenment wrote promises covenants oaths bonds human society hold upon atheist taking away god though even thought dissolves
267,Jonathan Haidt,"Putnam and Campbell reject the New Atheist emphasis on belief and reach a conclusion straight out of Durkheim: It is religious belongingness that matters for neighborliness, not religious believing.61",Moderate,0,putnam campbell reject new atheist emphasis belief reach conclusion straight durkheim religious belongingness matters neighborliness religious believing 
268,Jonathan Haidt,"my approach starts with Durkheim, who said: What is moral is everything that is a source of solidarity, everything that forces man to … regulate his actions by something other than … his own egoism.65",Moderate,0,approach starts durkheim said moral everything source solidarity everything forces man regulate actions something egoism 
269,Jonathan Haidt,"Moral systems are interlocking sets of values, virtues, norms, practices, identities, institutions, technologies, and evolved psychological mechanisms that work together to suppress or regulate self-interest and make cooperative societies possible.66",Moderate,0,moral systems interlocking sets values virtues norms practices identities institutions technologies evolved psychological mechanisms work together suppress regulate self interest make cooperative societies possible 
270,Jonathan Haidt,Utilitarians since Jeremy Bentham have focused intently on individuals. They try to improve the welfare of society by giving individuals what they want. But a Durkheimian version of utilitarianism would recognize that human flourishing requires social order and embeddedness. It would begin with the premise that social order is extraordinarily precious and difficult to achieve. A Durkheimian utilitarianism would be open to the possibility that the binding foundations,Moderate,0,utilitarians since jeremy bentham focused intently individuals try improve welfare society giving individuals want durkheimian version utilitarianism would recognize human flourishing requires social order embeddedness would begin premise social order extraordinarily precious difficult achieve durkheimian utilitarianism would open possibility binding foundations
271,Jonathan Haidt,Ignorant people see everything in black and white,Moderate,0,ignorant people see everything black white
272,Jonathan Haidt,"The Sanctity foundation is crucial for understanding the American culture wars, particularly over biomedical issues. If you dismiss the Sanctity foundation entirely, then it’s hard to understand the fuss over most of today’s biomedical controversies.",Moderate,0,sanctity foundation crucial understanding american culture wars particularly biomedical issues dismiss sanctity foundation entirely hard understand fuss today biomedical controversies
273,Jonathan Haidt,We do moral reasoning not to reconstruct the actual reasons why we ourselves came to a judgment; we reason to find the best possible reasons why somebody else ought to join us in our judgment.36,Moderate,0,moral reasoning reconstruct actual reasons came judgment reason find best possible reasons somebody else ought join us judgment 
274,Jonathan Haidt,"Intuition is the best word to describe the dozens or hundreds of rapid, effortless moral judgments and decisions that we all make every day.",Moderate,0,intuition best word describe dozens hundreds rapid effortless moral judgments decisions make every day
275,Jonathan Haidt,"The claim that some races were innately superior to others was later championed by Hitler, and so if Hitler was a nativist, then all nativists were Nazis. (That conclusion is illogical, but it makes sense emotionally if you dislike nativism.)13 The",Moderate,0,claim races innately superior others later championed hitler hitler nativist nativists nazis conclusion illogical makes sense emotionally dislike nativism 
276,Jonathan Haidt,"Once people join a political team, they get ensnared in its moral matrix. They see confirmation of their grand narrative everywhere, and it's difficult-perhaps impossible-to convince them that they are wrong if you argue with them from outside of their matrix.",Moderate,0,people join political team get ensnared moral matrix see confirmation grand narrative everywhere difficult perhaps impossible convince wrong argue outside matrix
277,Jonathan Haidt,"In other words, you can’t study the mind while ignoring culture, as psychologists usually do, because minds function only once they’ve been filled out by a particular culture. And you can’t study culture while ignoring psychology, as anthropologists usually do, because social practices and institutions (such as initiation rites, witchcraft, and religion) are to some extent shaped by concepts and desires rooted deep within the human mind, which explains why they often take similar forms on different continents. I",Moderate,0,words study mind ignoring culture psychologists usually minds function filled particular culture study culture ignoring psychology anthropologists usually social practices institutions initiation rites witchcraft religion extent shaped concepts desires rooted deep within human mind explains often take similar forms different continents
278,Jonathan Haidt,"he still shouldn’t do it because it degrades him, dishonors his creator, and violates the sacred order of the universe.",Moderate,0,still degrades dishonors creator violates sacred order universe
279,Jonathan Haidt,...civility doesn't require consensus or the suspension of criticism. It is simply the ability to disagree productively with others while respecting their sincerity and decency.,Moderate,0,civility require consensus suspension criticism simply ability disagree productively others respecting sincerity decency
280,Jonathan Haidt,"In the 1890s Wilhelm Wundt, the founder of experimental psychology, formulated the doctrine of affective primacy.7 Affect refers to small flashes of positive or negative feeling that prepare us to approach or avoid something. Every emotion (such as happiness or disgust) includes an affective reaction, but most of our affective reactions are too fleeting to be called emotions (for example, the subtle feelings you get just from reading the words happiness and disgust).",Moderate,0,s wilhelm wundt founder experimental psychology formulated doctrine affective primacy  affect refers small flashes positive negative feeling prepare us approach avoid something every emotion happiness disgust includes affective reaction affective reactions fleeting called emotions example subtle feelings get reading words happiness disgust
281,Jonathan Haidt,"Wundt said that affective reactions are so tightly integrated with perception that we find ourselves liking or disliking something the instant we notice it, sometimes even before we know what it is.8 These flashes occur so rapidly that they precede all other thoughts about the thing we’re looking at. You can feel affective primacy in action the next time you run into someone you haven’t seen in many years. You’ll usually know within a second or two whether you liked or disliked the person, but it can take much longer to remember who the person is or how you know each other.",Moderate,0,wundt said affective reactions tightly integrated perception find liking disliking something instant notice sometimes even know  flashes occur rapidly precede thoughts thing looking feel affective primacy action next time run someone seen many years usually know within second two whether liked disliked person take much longer remember person know
282,Jonathan Haidt,"we are all, by nature, hypocrites, and this is why it is so hard for us to follow the Golden Rule faithfully.",Moderate,0,nature hypocrites hard us follow golden rule faithfully
283,Jonathan Haidt,"It is, rather, self-constructed as kids play with other kids. Taking turns in a game is like pouring water back and forth between glasses. No matter how often you do it with three-year-olds, they’re just not ready to get the concept of fairness,7 any more than they can understand the conservation of volume. But once they’ve reached the age of five or six, then playing games, having arguments, and working things out together will help them learn about fairness far more effectively than any sermon from adults.",Moderate,0,rather self constructed kids play kids taking turns game like pouring water back forth glasses matter often three year olds ready get concept fairness  understand conservation volume reached age five six playing games arguments working things together help learn fairness far effectively sermon adults
284,Jonathan Haidt,"BORN TO BE RIGHTEOUS I could have titled this book The Moral Mind to convey the sense that the human mind is designed to do morality, just as it’s designed to do language, sexuality, music, and many other things described in popular books reporting the latest scientific findings. But I chose the title The Righteous Mind to convey the sense that human nature is not just intrinsically moral, it’s also intrinsically moralistic, critical, and judgmental.",Moderate,0,born righteous could titled book moral mind convey sense human mind designed morality designed language sexuality music many things described popular books reporting latest scientific findings chose title righteous mind convey sense human nature intrinsically moral also intrinsically moralistic critical judgmental
285,Jonathan Haidt,"If there is any one secret of success it lies in the ability to get the other person’s point of view and see things from their angle as well as your own.50 It’s such an obvious point, yet few of us apply it in moral and political arguments because our righteous minds so readily shift into combat mode.",Moderate,0,one secret success lies ability get person point view see things angle well  obvious point yet us apply moral political arguments righteous minds readily shift combat mode
286,Jonathan Haidt,Liberals sometimes say that religious conservatives are sexual prudes for whom anything other than missionary-position intercourse within marriage is a sin. But conservatives can just as well make fun of liberal struggles to choose a balanced breakfast,Moderate,0,liberals sometimes say religious conservatives sexual prudes anything missionary position intercourse within marriage sin conservatives well make fun liberal struggles choose balanced breakfast
287,Jonathan Haidt,"The moral matrix of American libertarians. At YourMorals.​org, we’ve found that Wilkinson is",Moderate,0,moral matrix american libertarians yourmorals ​org found wilkinson
288,Jonathan Haidt,Reciprocity is a deep instinct; it is the basic currency of social life.,Moderate,0,reciprocity deep instinct basic currency social life
289,Jonathan Haidt,"Whatever its origins, the psychology of sacredness helps bind individuals into moral communities.42 When someone in a moral community desecrates one of the sacred pillars supporting the community, the reaction is sure to be swift, emotional, collective, and punitive. To",Moderate,0,whatever origins psychology sacredness helps bind individuals moral communities  someone moral community desecrates one sacred pillars supporting community reaction sure swift emotional collective punitive
290,Jonathan Haidt,"Life is a hierarchy of nested levels, like Russian dolls: genes within chromosomes within cells within individual organisms within hives, societies, and other groups.",Moderate,0,life hierarchy nested levels like russian dolls genes within chromosomes within cells within individual organisms within hives societies groups
291,Jonathan Haidt,"(Humans can be turned into suicide bombers, but it takes a great deal of training, pressure, and psychological manipulation. It doesn’t come naturally to us.)",Moderate,0,humans turned suicide bombers takes great deal training pressure psychological manipulation come naturally us
292,Jonathan Haidt,"Genes are selfish,3 selfish genes create people with various mental modules, and some of these mental modules make us strategically altruistic, not reliably or universally altruistic.",Moderate,0,genes selfish  selfish genes create people various mental modules mental modules make us strategically altruistic reliably universally altruistic
293,Jonathan Haidt,"When Freud was asked what a normal person should be able to do well, he is reputed to have said, Love and work.",Moderate,0,freud asked normal person able well reputed said love work
294,Jonathan Haidt,Morality is like taste in many ways,Moderate,0,morality like taste many ways
295,Jonathan Haidt,"leadership on virtue can never come from the major political actors; it will have to come from a movement of people, such as the people of a town who come together and agree to create moral coherence across the many areas of children’s lives.",Moderate,0,leadership virtue never come major political actors come movement people people town come together agree create moral coherence across many areas children lives
