,Author,Political Orientation,Quotes,language
2652,Tony Judt,Progressive,"The wider the spread between the wealthy few and the impoverished many, the worse the social problems: a statement which appears to be true for rich and poor countries alike. What matters is not how affluent a country is but how unequal it is.",en
2653,Tony Judt,Progressive,Something is profoundly wrong with the way we live today. For thirty years we have made a virtue out of the pursuit of material self-interest:,en
2654,Tony Judt,Progressive,How should we begin to make amends for raising a generation obsessed with the pursuit of material wealth and indifferent to so much else?,en
2655,Tony Judt,Progressive,"This reduction of 'society' to a thin membrane of interactions between private individuals is presented today as the ambition of libertarians and free marketeers. But we should never forget that it was first and above all the dream of Jacobins, Bolsheviks and Nazis: if there is nothing that binds us together as a community or society, then we are utterly dependent upon the state. Governments that are too weak or discredited to act through their citizens are more likely to seek their ends by other means: by exhorting, cajoling, threatening and ultimately coercing people to obey them. The loss of social purpose articulated through public services actually increases the unrestrained powers of the over-mighty state.",en
2657,Tony Judt,Progressive,"In a certain sense the country of ‘Russia’ as such did not exist: it had for centuries been an empire, whether in fact or in aspiration. Spread across eleven time zones and encompassing dozens of different peoples, ‘Russia’ had always been too big to be reduced to a single identity or common sense of purpose.14 During and after the Great Patriotic War the Soviet authorities had indeed played the Russian card, appealing to national pride and exalting the ‘victory of the Russian people’. But the Russian people had never been assigned ‘nationhood’ in the way that Kazakhs or Ukrainians or Armenians were officially ‘nations’ in Soviet parlance. There was not even a separate ‘Russian’ Communist Party. To be Russian was to be Soviet.",en
2658,Tony Judt,Progressive,"The Socialist social contract was tartly summed up in the popular joke: ‘you pretend to work, we pretend to pay you’. Many workers, especially the less-skilled, had a stake in these arrangements, which",en
2659,Tony Judt,Progressive,"Romanians, however, paid a terrible price for Ceauşescu’s privileged status. In 1966, to increase the population",en
2660,Tony Judt,Progressive,"Ever since 1792 the Revolutionary and counter-Revolutionary poles of French public life exemplified and reinforced the two-fold division of the country: for and against the Monarchy, for and against the Revolution, for and against Robespierre, for and against the Constitutions of 1830 and 1848, for and against the Commune. No other country had such a long and unbroken experience of bipolar politics, underscored by the conventional historiography of the national Revolutionary myth as inculcated to French schoolchildren for many decades. Moreover",en
2662,Tony Judt,Progressive,"Broadly speaking, affairs that were urgently political in Europe aroused only intellectual interest in Britain; while topics of intellectual concern on the Continent were usually confined to academic circles in the UK, if indeed they were noticed at all. The",en
2663,Tony Judt,Progressive,"If a social and democratic city is going to be built again, it will most probably be built by those who have no investment in the past, no fond memory of it. That isn’t to say they’ll be building on nothing. There is something to conserve, Tony Judt was right about that much – the very fact a publicly owned Carpenters Estate existed at all was the reason why it sat empty, and the reason why the slogan of the young mothers who occupied it could be so clear and so practical: ‘These people need homes, these homes need people.’ Such words are unlikely to find their way into white letters on a red poster, with an emblem of the crown above them. If we’re ever going to escape from austerity, this clear statement of collective utility is the most likely way out.",en
2664,Tony Judt,Progressive,"Why do we experience such difficulty even imagining a different sort of society? Why is it beyond us to conceive of a different set of arrangements to our common advantage? Are we doomed indefinitely to lurch between a dysfunctional 'free market' and the much-advertised horrors of 'socialism'?Our disability is discursive: we simply do not know how to talk about these things any more. For the last thirty years, when asking ourselves whether we support a policy, a proposal or an initiative, we have restricted ourselves to issues of profit and loss - economic questions in the narrowest sense. But these is not an instinctive human condition: it is an acquired taste.",en
2666,Tony Judt,Progressive,"History is not written as it was experienced, nor should it be. The inhabitants of the past know better than we do what it was like to live there, but they were not well placed, most of them, to understand what was happening to them and why.",en
2670,Tony Judt,Progressive,"had brought Stalin credibility and influence, in the counsels of governments and on the streets.",en
2672,Tony Judt,Progressive,"The wider the spread between the wealthy few and the impoverished many, the worse the social problems: a statement which appears to be true for rich and poor countries alike. What matters is not how affluent a country is but how unequal it is.",en
2673,Tony Judt,Progressive,Something is profoundly wrong with the way we live today. For thirty years we have made a virtue out of the pursuit of material self-interest:,en
2674,Tony Judt,Progressive,How should we begin to make amends for raising a generation obsessed with the pursuit of material wealth and indifferent to so much else?,en
2677,Tony Judt,Progressive,"In a certain sense the country of ‘Russia’ as such did not exist: it had for centuries been an empire, whether in fact or in aspiration. Spread across eleven time zones and encompassing dozens of different peoples, ‘Russia’ had always been too big to be reduced to a single identity or common sense of purpose.14 During and after the Great Patriotic War the Soviet authorities had indeed played the Russian card, appealing to national pride and exalting the ‘victory of the Russian people’. But the Russian people had never been assigned ‘nationhood’ in the way that Kazakhs or Ukrainians or Armenians were officially ‘nations’ in Soviet parlance. There was not even a separate ‘Russian’ Communist Party. To be Russian was to be Soviet.",en
2678,Tony Judt,Progressive,"The Socialist social contract was tartly summed up in the popular joke: ‘you pretend to work, we pretend to pay you’. Many workers, especially the less-skilled, had a stake in these arrangements, which",en
2681,Tony Judt,Progressive,"Fyodor Dostoevsky’s The Brothers Karamazov and Milan Kundera’s The Unbearable Lightness of Being might suit our moment. Sinclair Lewis’s novel It Can’t Happen Here is perhaps not a great work of art; Philip Roth’s The Plot Against America is better. One novel known by millions of young Americans that offers an account of tyranny and resistance is J. K. Rowling’s Harry Potter and the Deathly Hallows. If you or your friends or your children did not read it that way the first time, then it bears reading again. Some of the political and historical texts that inform the arguments made here are Politics and the English Language by George Orwell (1946); The Language of the Third Reich by Victor Klemperer (1947); The Origins of Totalitarianism by Hannah Arendt (1951); The Rebel by Albert Camus (1951); The Captive Mind by Czesław Miłosz (1953); The Power of the Powerless by Václav Havel (1978); How to Be a Conservative-Liberal-Socialist by Leszek Kołakowski (1978); The Uses of Adversity by Timothy Garton Ash (1989); The Burden of Responsibility by Tony Judt (1998); Ordinary Men by Christopher Browning (1992); and Nothing Is True and Everything Is Possible by Peter Pomerantsev (2014). Christians",en
2682,Tony Judt,Progressive,"Broadly speaking, affairs that were urgently political in Europe aroused only intellectual interest in Britain; while topics of intellectual concern on the Continent were usually confined to academic circles in the UK, if indeed they were noticed at all. The",en
2684,Tony Judt,Progressive,"Why do we experience such difficulty even imagining a different sort of society? Why is it beyond us to conceive of a different set of arrangements to our common advantage? Are we doomed indefinitely to lurch between a dysfunctional 'free market' and the much-advertised horrors of 'socialism'?Our disability is discursive: we simply do not know how to talk about these things any more. For the last thirty years, when asking ourselves whether we support a policy, a proposal or an initiative, we have restricted ourselves to issues of profit and loss - economic questions in the narrowest sense. But these is not an instinctive human condition: it is an acquired taste.",en
2685,Tony Judt,Progressive,"The past was neither as good nor as bad as we suppose: it was just different. If we tell ourselves nostalgic stories, we shall never engage the problems that face us in the present - and the same is true if we fondly suppose that our own world is better in every way. The past really is another country: we cannot go back. However, there is something worse that idealising the past - or presenting it to ourselves and our children as a chamber of horrors: forgetting it.",en
2686,Tony Judt,Progressive,"History is not written as it was experienced, nor should it be. The inhabitants of the past know better than we do what it was like to live there, but they were not well placed, most of them, to understand what was happening to them and why.",en
2687,Tony Judt,Progressive,Some of the political and historical texts that inform the arguments made here are Politics and the English Language by George Orwell (1946); The Language of the Third Reich by Victor Klemperer (1947); The Origins of Totalitarianism by Hannah Arendt (1951); The Rebel by Albert Camus (1951); The Captive Mind by Czesław Miłosz (1953); The Power of the Powerless by Václav Havel (1978); How to Be a Conservative-Liberal-Socialist by Leszek Kołakowski (1978); The Uses of Adversity by Timothy Garton Ash (1989); The Burden of Responsibility by Tony Judt (1998); Ordinary Men by Christopher Browning (1992); and Nothing Is True and Everything Is Possible by Peter Pomerantsev (2014). Christians,en
2689,Tony Judt,Progressive,"And yet, for all its faults as a system of indirect government, the Union has certain interesting and original attributes. Decisions and laws may be passed at a trans-governmental level, but they are implemented by and through national authorities. Everything has to be undertaken by agreement, since there are no instruments of coercion: no EU tax collectors, no EU policemen. The European Union thus represents an unusual compromise: international governance undertaken by national governments. Finally,",en
2690,Tony Judt,Progressive,"had brought Stalin credibility and influence, in the counsels of governments and on the streets.",en
2691,Tony Judt,Progressive,"British historian Tony Judt died of amyotrophic lateral sclerosis, or Lou Gehrig’s disease, in 2010. In an extraordinary interview with Terry Gross on NPR’s Fresh Air, Judt explained that with a severe condition like ALS, in which you’re surrounded by equipment and health professionals, the danger isn’t that you’ll lash out and be mean. But, rather, it’s that you’ll disconnect from those you love. It’s that they lose a sense of your presence, he says, that you stop being omnipresent in their lives. And so, he said, his responsibility to his family and friends was not to be unfailingly positive and Pollyanna, which wouldn’t be honest. It’s to be as present in their lives now as I can be so that in years to come they don’t feel either guilty or bad at my having been left out of their lives, that they feel still a very strong … memory of a complete family rather than a broken one. Asked",en
2692,Tony Judt,Progressive,"The wider the spread between the wealthy few and the impoverished many, the worse the social problems: a statement which appears to be true for rich and poor countries alike. What matters is not how affluent a country is but how unequal it is.",en
2693,Tony Judt,Progressive,Something is profoundly wrong with the way we live today. For thirty years we have made a virtue out of the pursuit of material self-interest:,en
2695,Tony Judt,Progressive,"This reduction of 'society' to a thin membrane of interactions between private individuals is presented today as the ambition of libertarians and free marketeers. But we should never forget that it was first and above all the dream of Jacobins, Bolsheviks and Nazis: if there is nothing that binds us together as a community or society, then we are utterly dependent upon the state. Governments that are too weak or discredited to act through their citizens are more likely to seek their ends by other means: by exhorting, cajoling, threatening and ultimately coercing people to obey them. The loss of social purpose articulated through public services actually increases the unrestrained powers of the over-mighty state.",en
2698,Tony Judt,Progressive,"The Socialist social contract was tartly summed up in the popular joke: ‘you pretend to work, we pretend to pay you’. Many workers, especially the less-skilled, had a stake in these arrangements, which",en
2699,Tony Judt,Progressive,"Romanians, however, paid a terrible price for Ceauşescu’s privileged status. In 1966, to increase the population",en
2700,Tony Judt,Progressive,"Ever since 1792 the Revolutionary and counter-Revolutionary poles of French public life exemplified and reinforced the two-fold division of the country: for and against the Monarchy, for and against the Revolution, for and against Robespierre, for and against the Constitutions of 1830 and 1848, for and against the Commune. No other country had such a long and unbroken experience of bipolar politics, underscored by the conventional historiography of the national Revolutionary myth as inculcated to French schoolchildren for many decades. Moreover",en
2701,Tony Judt,Progressive,"Fyodor Dostoevsky’s The Brothers Karamazov and Milan Kundera’s The Unbearable Lightness of Being might suit our moment. Sinclair Lewis’s novel It Can’t Happen Here is perhaps not a great work of art; Philip Roth’s The Plot Against America is better. One novel known by millions of young Americans that offers an account of tyranny and resistance is J. K. Rowling’s Harry Potter and the Deathly Hallows. If you or your friends or your children did not read it that way the first time, then it bears reading again. Some of the political and historical texts that inform the arguments made here are Politics and the English Language by George Orwell (1946); The Language of the Third Reich by Victor Klemperer (1947); The Origins of Totalitarianism by Hannah Arendt (1951); The Rebel by Albert Camus (1951); The Captive Mind by Czesław Miłosz (1953); The Power of the Powerless by Václav Havel (1978); How to Be a Conservative-Liberal-Socialist by Leszek Kołakowski (1978); The Uses of Adversity by Timothy Garton Ash (1989); The Burden of Responsibility by Tony Judt (1998); Ordinary Men by Christopher Browning (1992); and Nothing Is True and Everything Is Possible by Peter Pomerantsev (2014). Christians",en
2702,Tony Judt,Progressive,"Broadly speaking, affairs that were urgently political in Europe aroused only intellectual interest in Britain; while topics of intellectual concern on the Continent were usually confined to academic circles in the UK, if indeed they were noticed at all. The",en
2703,Tony Judt,Progressive,"If a social and democratic city is going to be built again, it will most probably be built by those who have no investment in the past, no fond memory of it. That isn’t to say they’ll be building on nothing. There is something to conserve, Tony Judt was right about that much – the very fact a publicly owned Carpenters Estate existed at all was the reason why it sat empty, and the reason why the slogan of the young mothers who occupied it could be so clear and so practical: ‘These people need homes, these homes need people.’ Such words are unlikely to find their way into white letters on a red poster, with an emblem of the crown above them. If we’re ever going to escape from austerity, this clear statement of collective utility is the most likely way out.",en
2704,Tony Judt,Progressive,"Why do we experience such difficulty even imagining a different sort of society? Why is it beyond us to conceive of a different set of arrangements to our common advantage? Are we doomed indefinitely to lurch between a dysfunctional 'free market' and the much-advertised horrors of 'socialism'?Our disability is discursive: we simply do not know how to talk about these things any more. For the last thirty years, when asking ourselves whether we support a policy, a proposal or an initiative, we have restricted ourselves to issues of profit and loss - economic questions in the narrowest sense. But these is not an instinctive human condition: it is an acquired taste.",en
2705,Tony Judt,Progressive,"The past was neither as good nor as bad as we suppose: it was just different. If we tell ourselves nostalgic stories, we shall never engage the problems that face us in the present - and the same is true if we fondly suppose that our own world is better in every way. The past really is another country: we cannot go back. However, there is something worse that idealising the past - or presenting it to ourselves and our children as a chamber of horrors: forgetting it.",en
2706,Tony Judt,Progressive,"History is not written as it was experienced, nor should it be. The inhabitants of the past know better than we do what it was like to live there, but they were not well placed, most of them, to understand what was happening to them and why.",en
2709,Tony Judt,Progressive,"And yet, for all its faults as a system of indirect government, the Union has certain interesting and original attributes. Decisions and laws may be passed at a trans-governmental level, but they are implemented by and through national authorities. Everything has to be undertaken by agreement, since there are no instruments of coercion: no EU tax collectors, no EU policemen. The European Union thus represents an unusual compromise: international governance undertaken by national governments. Finally,",en
2710,Tony Judt,Progressive,"had brought Stalin credibility and influence, in the counsels of governments and on the streets.",en
2711,Tony Judt,Progressive,"British historian Tony Judt died of amyotrophic lateral sclerosis, or Lou Gehrig’s disease, in 2010. In an extraordinary interview with Terry Gross on NPR’s Fresh Air, Judt explained that with a severe condition like ALS, in which you’re surrounded by equipment and health professionals, the danger isn’t that you’ll lash out and be mean. But, rather, it’s that you’ll disconnect from those you love. It’s that they lose a sense of your presence, he says, that you stop being omnipresent in their lives. And so, he said, his responsibility to his family and friends was not to be unfailingly positive and Pollyanna, which wouldn’t be honest. It’s to be as present in their lives now as I can be so that in years to come they don’t feel either guilty or bad at my having been left out of their lives, that they feel still a very strong … memory of a complete family rather than a broken one. Asked",en
2712,Tony Judt,Progressive,"The wider the spread between the wealthy few and the impoverished many, the worse the social problems: a statement which appears to be true for rich and poor countries alike. What matters is not how affluent a country is but how unequal it is.",en
2713,Tony Judt,Progressive,Something is profoundly wrong with the way we live today. For thirty years we have made a virtue out of the pursuit of material self-interest:,en
2714,Tony Judt,Progressive,How should we begin to make amends for raising a generation obsessed with the pursuit of material wealth and indifferent to so much else?,en
2717,Tony Judt,Progressive,"In a certain sense the country of ‘Russia’ as such did not exist: it had for centuries been an empire, whether in fact or in aspiration. Spread across eleven time zones and encompassing dozens of different peoples, ‘Russia’ had always been too big to be reduced to a single identity or common sense of purpose.14 During and after the Great Patriotic War the Soviet authorities had indeed played the Russian card, appealing to national pride and exalting the ‘victory of the Russian people’. But the Russian people had never been assigned ‘nationhood’ in the way that Kazakhs or Ukrainians or Armenians were officially ‘nations’ in Soviet parlance. There was not even a separate ‘Russian’ Communist Party. To be Russian was to be Soviet.",en
2718,Tony Judt,Progressive,"The Socialist social contract was tartly summed up in the popular joke: ‘you pretend to work, we pretend to pay you’. Many workers, especially the less-skilled, had a stake in these arrangements, which",en
2720,Tony Judt,Progressive,"Ever since 1792 the Revolutionary and counter-Revolutionary poles of French public life exemplified and reinforced the two-fold division of the country: for and against the Monarchy, for and against the Revolution, for and against Robespierre, for and against the Constitutions of 1830 and 1848, for and against the Commune. No other country had such a long and unbroken experience of bipolar politics, underscored by the conventional historiography of the national Revolutionary myth as inculcated to French schoolchildren for many decades. Moreover",en
2721,Tony Judt,Progressive,"Fyodor Dostoevsky’s The Brothers Karamazov and Milan Kundera’s The Unbearable Lightness of Being might suit our moment. Sinclair Lewis’s novel It Can’t Happen Here is perhaps not a great work of art; Philip Roth’s The Plot Against America is better. One novel known by millions of young Americans that offers an account of tyranny and resistance is J. K. Rowling’s Harry Potter and the Deathly Hallows. If you or your friends or your children did not read it that way the first time, then it bears reading again. Some of the political and historical texts that inform the arguments made here are Politics and the English Language by George Orwell (1946); The Language of the Third Reich by Victor Klemperer (1947); The Origins of Totalitarianism by Hannah Arendt (1951); The Rebel by Albert Camus (1951); The Captive Mind by Czesław Miłosz (1953); The Power of the Powerless by Václav Havel (1978); How to Be a Conservative-Liberal-Socialist by Leszek Kołakowski (1978); The Uses of Adversity by Timothy Garton Ash (1989); The Burden of Responsibility by Tony Judt (1998); Ordinary Men by Christopher Browning (1992); and Nothing Is True and Everything Is Possible by Peter Pomerantsev (2014). Christians",en
2722,Tony Judt,Progressive,"Broadly speaking, affairs that were urgently political in Europe aroused only intellectual interest in Britain; while topics of intellectual concern on the Continent were usually confined to academic circles in the UK, if indeed they were noticed at all. The",en
2723,Tony Judt,Progressive,"If a social and democratic city is going to be built again, it will most probably be built by those who have no investment in the past, no fond memory of it. That isn’t to say they’ll be building on nothing. There is something to conserve, Tony Judt was right about that much – the very fact a publicly owned Carpenters Estate existed at all was the reason why it sat empty, and the reason why the slogan of the young mothers who occupied it could be so clear and so practical: ‘These people need homes, these homes need people.’ Such words are unlikely to find their way into white letters on a red poster, with an emblem of the crown above them. If we’re ever going to escape from austerity, this clear statement of collective utility is the most likely way out.",en
2725,Tony Judt,Progressive,"The past was neither as good nor as bad as we suppose: it was just different. If we tell ourselves nostalgic stories, we shall never engage the problems that face us in the present - and the same is true if we fondly suppose that our own world is better in every way. The past really is another country: we cannot go back. However, there is something worse that idealising the past - or presenting it to ourselves and our children as a chamber of horrors: forgetting it.",en
2726,Tony Judt,Progressive,"History is not written as it was experienced, nor should it be. The inhabitants of the past know better than we do what it was like to live there, but they were not well placed, most of them, to understand what was happening to them and why.",en
2727,Tony Judt,Progressive,Some of the political and historical texts that inform the arguments made here are Politics and the English Language by George Orwell (1946); The Language of the Third Reich by Victor Klemperer (1947); The Origins of Totalitarianism by Hannah Arendt (1951); The Rebel by Albert Camus (1951); The Captive Mind by Czesław Miłosz (1953); The Power of the Powerless by Václav Havel (1978); How to Be a Conservative-Liberal-Socialist by Leszek Kołakowski (1978); The Uses of Adversity by Timothy Garton Ash (1989); The Burden of Responsibility by Tony Judt (1998); Ordinary Men by Christopher Browning (1992); and Nothing Is True and Everything Is Possible by Peter Pomerantsev (2014). Christians,en
2729,Tony Judt,Progressive,"And yet, for all its faults as a system of indirect government, the Union has certain interesting and original attributes. Decisions and laws may be passed at a trans-governmental level, but they are implemented by and through national authorities. Everything has to be undertaken by agreement, since there are no instruments of coercion: no EU tax collectors, no EU policemen. The European Union thus represents an unusual compromise: international governance undertaken by national governments. Finally,",en
2730,Tony Judt,Progressive,"had brought Stalin credibility and influence, in the counsels of governments and on the streets.",en
2732,Tony Judt,Progressive,"The wider the spread between the wealthy few and the impoverished many, the worse the social problems: a statement which appears to be true for rich and poor countries alike. What matters is not how affluent a country is but how unequal it is.",en
2733,Tony Judt,Progressive,Something is profoundly wrong with the way we live today. For thirty years we have made a virtue out of the pursuit of material self-interest:,en
2734,Tony Judt,Progressive,How should we begin to make amends for raising a generation obsessed with the pursuit of material wealth and indifferent to so much else?,en
2737,Tony Judt,Progressive,"In a certain sense the country of ‘Russia’ as such did not exist: it had for centuries been an empire, whether in fact or in aspiration. Spread across eleven time zones and encompassing dozens of different peoples, ‘Russia’ had always been too big to be reduced to a single identity or common sense of purpose.14 During and after the Great Patriotic War the Soviet authorities had indeed played the Russian card, appealing to national pride and exalting the ‘victory of the Russian people’. But the Russian people had never been assigned ‘nationhood’ in the way that Kazakhs or Ukrainians or Armenians were officially ‘nations’ in Soviet parlance. There was not even a separate ‘Russian’ Communist Party. To be Russian was to be Soviet.",en
2739,Tony Judt,Progressive,"Romanians, however, paid a terrible price for Ceauşescu’s privileged status. In 1966, to increase the population",en
2740,Tony Judt,Progressive,"Ever since 1792 the Revolutionary and counter-Revolutionary poles of French public life exemplified and reinforced the two-fold division of the country: for and against the Monarchy, for and against the Revolution, for and against Robespierre, for and against the Constitutions of 1830 and 1848, for and against the Commune. No other country had such a long and unbroken experience of bipolar politics, underscored by the conventional historiography of the national Revolutionary myth as inculcated to French schoolchildren for many decades. Moreover",en
2741,Tony Judt,Progressive,"Fyodor Dostoevsky’s The Brothers Karamazov and Milan Kundera’s The Unbearable Lightness of Being might suit our moment. Sinclair Lewis’s novel It Can’t Happen Here is perhaps not a great work of art; Philip Roth’s The Plot Against America is better. One novel known by millions of young Americans that offers an account of tyranny and resistance is J. K. Rowling’s Harry Potter and the Deathly Hallows. If you or your friends or your children did not read it that way the first time, then it bears reading again. Some of the political and historical texts that inform the arguments made here are Politics and the English Language by George Orwell (1946); The Language of the Third Reich by Victor Klemperer (1947); The Origins of Totalitarianism by Hannah Arendt (1951); The Rebel by Albert Camus (1951); The Captive Mind by Czesław Miłosz (1953); The Power of the Powerless by Václav Havel (1978); How to Be a Conservative-Liberal-Socialist by Leszek Kołakowski (1978); The Uses of Adversity by Timothy Garton Ash (1989); The Burden of Responsibility by Tony Judt (1998); Ordinary Men by Christopher Browning (1992); and Nothing Is True and Everything Is Possible by Peter Pomerantsev (2014). Christians",en
2743,Tony Judt,Progressive,"If a social and democratic city is going to be built again, it will most probably be built by those who have no investment in the past, no fond memory of it. That isn’t to say they’ll be building on nothing. There is something to conserve, Tony Judt was right about that much – the very fact a publicly owned Carpenters Estate existed at all was the reason why it sat empty, and the reason why the slogan of the young mothers who occupied it could be so clear and so practical: ‘These people need homes, these homes need people.’ Such words are unlikely to find their way into white letters on a red poster, with an emblem of the crown above them. If we’re ever going to escape from austerity, this clear statement of collective utility is the most likely way out.",en
2745,Tony Judt,Progressive,"The past was neither as good nor as bad as we suppose: it was just different. If we tell ourselves nostalgic stories, we shall never engage the problems that face us in the present - and the same is true if we fondly suppose that our own world is better in every way. The past really is another country: we cannot go back. However, there is something worse that idealising the past - or presenting it to ourselves and our children as a chamber of horrors: forgetting it.",en
2746,Tony Judt,Progressive,"History is not written as it was experienced, nor should it be. The inhabitants of the past know better than we do what it was like to live there, but they were not well placed, most of them, to understand what was happening to them and why.",en
2747,Tony Judt,Progressive,Some of the political and historical texts that inform the arguments made here are Politics and the English Language by George Orwell (1946); The Language of the Third Reich by Victor Klemperer (1947); The Origins of Totalitarianism by Hannah Arendt (1951); The Rebel by Albert Camus (1951); The Captive Mind by Czesław Miłosz (1953); The Power of the Powerless by Václav Havel (1978); How to Be a Conservative-Liberal-Socialist by Leszek Kołakowski (1978); The Uses of Adversity by Timothy Garton Ash (1989); The Burden of Responsibility by Tony Judt (1998); Ordinary Men by Christopher Browning (1992); and Nothing Is True and Everything Is Possible by Peter Pomerantsev (2014). Christians,en
2749,Tony Judt,Progressive,"And yet, for all its faults as a system of indirect government, the Union has certain interesting and original attributes. Decisions and laws may be passed at a trans-governmental level, but they are implemented by and through national authorities. Everything has to be undertaken by agreement, since there are no instruments of coercion: no EU tax collectors, no EU policemen. The European Union thus represents an unusual compromise: international governance undertaken by national governments. Finally,",en
2750,Tony Judt,Progressive,"had brought Stalin credibility and influence, in the counsels of governments and on the streets.",en
2751,Tony Judt,Progressive,"British historian Tony Judt died of amyotrophic lateral sclerosis, or Lou Gehrig’s disease, in 2010. In an extraordinary interview with Terry Gross on NPR’s Fresh Air, Judt explained that with a severe condition like ALS, in which you’re surrounded by equipment and health professionals, the danger isn’t that you’ll lash out and be mean. But, rather, it’s that you’ll disconnect from those you love. It’s that they lose a sense of your presence, he says, that you stop being omnipresent in their lives. And so, he said, his responsibility to his family and friends was not to be unfailingly positive and Pollyanna, which wouldn’t be honest. It’s to be as present in their lives now as I can be so that in years to come they don’t feel either guilty or bad at my having been left out of their lives, that they feel still a very strong … memory of a complete family rather than a broken one. Asked",en
2753,Tony Judt,Progressive,Something is profoundly wrong with the way we live today. For thirty years we have made a virtue out of the pursuit of material self-interest:,en
2754,Tony Judt,Progressive,How should we begin to make amends for raising a generation obsessed with the pursuit of material wealth and indifferent to so much else?,en
2755,Tony Judt,Progressive,"This reduction of 'society' to a thin membrane of interactions between private individuals is presented today as the ambition of libertarians and free marketeers. But we should never forget that it was first and above all the dream of Jacobins, Bolsheviks and Nazis: if there is nothing that binds us together as a community or society, then we are utterly dependent upon the state. Governments that are too weak or discredited to act through their citizens are more likely to seek their ends by other means: by exhorting, cajoling, threatening and ultimately coercing people to obey them. The loss of social purpose articulated through public services actually increases the unrestrained powers of the over-mighty state.",en
2757,Tony Judt,Progressive,"In a certain sense the country of ‘Russia’ as such did not exist: it had for centuries been an empire, whether in fact or in aspiration. Spread across eleven time zones and encompassing dozens of different peoples, ‘Russia’ had always been too big to be reduced to a single identity or common sense of purpose.14 During and after the Great Patriotic War the Soviet authorities had indeed played the Russian card, appealing to national pride and exalting the ‘victory of the Russian people’. But the Russian people had never been assigned ‘nationhood’ in the way that Kazakhs or Ukrainians or Armenians were officially ‘nations’ in Soviet parlance. There was not even a separate ‘Russian’ Communist Party. To be Russian was to be Soviet.",en
2759,Tony Judt,Progressive,"Romanians, however, paid a terrible price for Ceauşescu’s privileged status. In 1966, to increase the population",en
2761,Tony Judt,Progressive,"Fyodor Dostoevsky’s The Brothers Karamazov and Milan Kundera’s The Unbearable Lightness of Being might suit our moment. Sinclair Lewis’s novel It Can’t Happen Here is perhaps not a great work of art; Philip Roth’s The Plot Against America is better. One novel known by millions of young Americans that offers an account of tyranny and resistance is J. K. Rowling’s Harry Potter and the Deathly Hallows. If you or your friends or your children did not read it that way the first time, then it bears reading again. Some of the political and historical texts that inform the arguments made here are Politics and the English Language by George Orwell (1946); The Language of the Third Reich by Victor Klemperer (1947); The Origins of Totalitarianism by Hannah Arendt (1951); The Rebel by Albert Camus (1951); The Captive Mind by Czesław Miłosz (1953); The Power of the Powerless by Václav Havel (1978); How to Be a Conservative-Liberal-Socialist by Leszek Kołakowski (1978); The Uses of Adversity by Timothy Garton Ash (1989); The Burden of Responsibility by Tony Judt (1998); Ordinary Men by Christopher Browning (1992); and Nothing Is True and Everything Is Possible by Peter Pomerantsev (2014). Christians",en
2764,Tony Judt,Progressive,"Why do we experience such difficulty even imagining a different sort of society? Why is it beyond us to conceive of a different set of arrangements to our common advantage? Are we doomed indefinitely to lurch between a dysfunctional 'free market' and the much-advertised horrors of 'socialism'?Our disability is discursive: we simply do not know how to talk about these things any more. For the last thirty years, when asking ourselves whether we support a policy, a proposal or an initiative, we have restricted ourselves to issues of profit and loss - economic questions in the narrowest sense. But these is not an instinctive human condition: it is an acquired taste.",en
2765,Tony Judt,Progressive,"The past was neither as good nor as bad as we suppose: it was just different. If we tell ourselves nostalgic stories, we shall never engage the problems that face us in the present - and the same is true if we fondly suppose that our own world is better in every way. The past really is another country: we cannot go back. However, there is something worse that idealising the past - or presenting it to ourselves and our children as a chamber of horrors: forgetting it.",en
2769,Tony Judt,Progressive,"And yet, for all its faults as a system of indirect government, the Union has certain interesting and original attributes. Decisions and laws may be passed at a trans-governmental level, but they are implemented by and through national authorities. Everything has to be undertaken by agreement, since there are no instruments of coercion: no EU tax collectors, no EU policemen. The European Union thus represents an unusual compromise: international governance undertaken by national governments. Finally,",en
2770,Tony Judt,Progressive,"had brought Stalin credibility and influence, in the counsels of governments and on the streets.",en
2771,Tony Judt,Progressive,"British historian Tony Judt died of amyotrophic lateral sclerosis, or Lou Gehrig’s disease, in 2010. In an extraordinary interview with Terry Gross on NPR’s Fresh Air, Judt explained that with a severe condition like ALS, in which you’re surrounded by equipment and health professionals, the danger isn’t that you’ll lash out and be mean. But, rather, it’s that you’ll disconnect from those you love. It’s that they lose a sense of your presence, he says, that you stop being omnipresent in their lives. And so, he said, his responsibility to his family and friends was not to be unfailingly positive and Pollyanna, which wouldn’t be honest. It’s to be as present in their lives now as I can be so that in years to come they don’t feel either guilty or bad at my having been left out of their lives, that they feel still a very strong … memory of a complete family rather than a broken one. Asked",en
2772,Tony Judt,Progressive,"The wider the spread between the wealthy few and the impoverished many, the worse the social problems: a statement which appears to be true for rich and poor countries alike. What matters is not how affluent a country is but how unequal it is.",en
2773,Tony Judt,Progressive,Something is profoundly wrong with the way we live today. For thirty years we have made a virtue out of the pursuit of material self-interest:,en
