,Author,Quotes,Political Orientation
11352,Stefan Molyneux,"Evil ethicists are the holocaust of humanity; if philosophy can be the instant sunlight to their endless vampirism, it will save more lives than all the doctors who have ever lived.",Right
11353,Stefan Molyneux,You look back in time to when there was slavery and you think 'how did people even remotely believe that this was a good idea?'.It's incomprehensible for us to think of what the mindset was 100 or 200 years ago. I hope to make the present as incomprehensible to the future as the past is to us.,Right
11354,Stefan Molyneux,"Trying to solve complex social problems using the state, is like trying to create a beautiful painting with a machine gun: all you get is holes in the canvas, recoil aches, and a smell of cordite in the air.",Right
11355,Stefan Molyneux,There's great peace in surrendering to principles,Right
11356,Stefan Molyneux,The unconscious is the true accumulation of your history. It can be accepted or rejected but it can't fundamentally be altered.,Right
11357,Stefan Molyneux,The government is a giant logjam in the eternal river of human potential.,Right
11358,Stefan Molyneux,The expression of preferences is the essence of love.,Right
11359,Stefan Molyneux,"To be yourself is in many ways, is to be inconvenient to others. Only placaters and appeasers get along with other people all the time and that's not really getting along with anyone. That's just self erasure.To be alive, to be in a relationship is to constantly court inconvenience to others and out of that inconvenience can come enormous growth. I simply work as an imperasist. Empiricism comes first. So, I speak things that are inconvenient to others but, true for me. I observe their response. It's incredibly easy to find out the truth in your relationships. All you do is speak the truth. You speak the truth about what's on your mind to those around you and their true natures will be revealed in about 5 seconds.You have honesty in your relationships. You speak the truth about your experience, thought's, and feelings in your relationships and then you do not control how other people respond. Your as honest as can be and you simply observe how they respond. It's like that spray you use to see the lasers in the room. Honesty reveals everything.OK So, if these people constantly sacrifice my happiness, security, and mental health for the sake of their petty emotional selfish needs then I could choose to stay in those relationships if I want. I mean, I could choose to continue to hire an employee who steals from me everyday. I just have to be aware that he's stealing from me everyday.",Right
11620,Stefan Molyneux,Excessive praise arises from the same bigotry matrix as excessive criticism.,Right
11621,Stefan Molyneux,"A big rock can handle a hammer blow, it just gets chipped a little, what it can't handle is erosion",Right
11622,Stefan Molyneux,"Dr. Peter Boghossian’s A Manual for Creating Atheists is a precise, passionate, compassionate and brilliantly reasoned work that will illuminate any and all minds capable of openness and curiosity. This is not a bedtime story to help you fall asleep, but a wakeup call that has the best chance of bringing your rational mind back to life.(Review of Dr. Peter Boghossian's book, 'A Manual for Creating Atheists')",Right
11623,Stefan Molyneux,"Children are rarely taught critical thinking anymore, and society has become so antirational that basic reason and evidence are the new counterculture: thought is the new punk.",Right
11624,Stefan Molyneux,"The essence of wisdom is learning the value of staying in the conversation, even when it makes you uncomfortable. Especially when it makes you uncomfortable.",Right
11625,Stefan Molyneux,I never really grew up until I had kids.,Right
11626,Stefan Molyneux,"In reality, it is not so much a stateless society that we fear, but rather a family-less and friendless society where we rock gently, hugging our useless truths to our chests; solitary, ostracized, alone, rejected, scorned, derided. The truth is a desert island, we fear, and so, as evolutionarily social animals, we join our corrupt circles in mocking and attacking the truth and resent those who tell the truth for revealing the corruption that formerly was only visible unconsciously – which is to say, largely invisible.",Right
11627,Stefan Molyneux,"The woman who left abusive husbands in the 60's and 70's improved the institution of marriage because men now know that women can leave their husbands and the women or men who stay in abusive relationships are a massive advertisement to non- consequentiality of abuse.So, if you stay in a abusive relationship you are signaling to everyone who ever comes in contact with you or hears about you that abusers face no consequences to their abuse therefore by staying in an abusive relationship you are encouraging and subsidizing abuse.By getting out of abusive relationships you are saying the whole world over that abusers can't get away with it. That there are negative consequences to child, adult, or spousal abuse. You name it. It just doesn't have consequences for you, it has consequences for other people.When you break out and reject abusive and irredeemable relationships you are sending a clear signal which all abusers are listening for at all times. Can I get away with it? That's all they're thinking. It is my hope that abusers hear this and say Oh shit. The game is up.",Right
11628,Stefan Molyneux,All atheists must examine the Non Aggression Principle.,Right
11629,Stefan Molyneux,"The existence of evil can never justify the existence of the State. If there is no evil, the State is unnecessary. If evil exists, the State is far too dangerous to be allowed to exist.",Right
11630,Stefan Molyneux,"Our victimization in a way, can turn us into bullies because, the other person isn't doing something that we want and we get hurt. That way we get to bully that person and tell them basically you're a bad person for hurting me but, if you're burned all over and I give you a gentle hug and I dont know it, I'm not hurting you so to speak. It's the burns that are hurting you.",Right
11631,Stefan Molyneux,"Applying parents values back to them allot of the time is like trying to pay back a guy who is a counterfeiter with his own counterfeit bills. No, your supposed to think this is real money. I know it's not. I'm only pretending this is real money to get away with something. I don't actually want to receive it because I know it's fake money.",Right
11632,Stefan Molyneux,"Blessed are the peacemakers? Billed are the warmongers, and then you shall have peace.",Right
11633,Stefan Molyneux,"Appeasers will always try to get the least dangerous person to bend to the most dangerous person. This is one of the main problems in dysfunctional relationships. The more mature and rational you are the more you are victimized because, they are aware that you're not going to be as aggressive, destructive, or possibly as abusive and so you are the one who has to bend. You're the one who has to change and this constant rapping of rational people's souls around the prickly irrationalities of other people are what appeasers are constantly doing.",Right
11634,Stefan Molyneux,History is the same story with different costumes.,Right
11635,Stefan Molyneux,All mental unhappiness is the avoidance of legitimate suffering.,Right
11636,Stefan Molyneux,An atheist who is a statist is just another theist.,Right
11637,Stefan Molyneux,We are haunted houses of history. Nobody that we meet ever dies while we are alive.,Right
11638,Stefan Molyneux,Tribalism is an addiction that is driven by false beliefs that need to be reflected back to be perceived as true.,Right
11639,Stefan Molyneux,We are creatures built on a house of cards of language.,Right
11900,Stefan Molyneux,Almost all heroism is designed to make you inert by placing it in a context that you can't possibly act on.,Right
11901,Stefan Molyneux,"Promote the voluntary family; voluntarism is the only known cure for abuses of power - in politics, the economy or the family.",Right
11902,Stefan Molyneux,"Be big enough to offer the truth to people and if it short circuits them I think that's tragic. I think that's sad but, I will not strike no unholy bargains to self erase. I wont do it. I don't care how many people fucked up their lives. I don't care how many bad choices people have made. I don't care how much pettiness they've consumed and spat out. I don't care how much viciousness , rage, abuse, spanking they've dealt out. I am gonna tell the truth as I see it and I'm going to be who I fucking am and if that causes the world to shift in it's orbit and half the evil people get thrown off the planet and up into space well, you shouldn't of been standing in evil to begin with because, there is gravity in goodness.So, sorry; I have to be who I am. Everyone ells is taken. There is no other place I can go than in my own head. I can't jump from skull to skull until I find one that suits bad people around me better. I don't have that choice. So, be your fucking self. Speak your truth and if there are people around you who tempt you with nonexistence , blast through that and give them the full glory of who you are. Do not withhold yourself from the world. Do not piss on the incandescent gift of your existence. Don't drown yourself in the petty fog and dustiness of other peoples ancient superstitions, beliefs, aggressions, culture, and crap. No, be a flare.We're all born self expressive. We are all born perfectly comfortable with being incredibly inconvenient to our parents. We shit, piss, wake up at night, throw up on their shoulders, scream, and cry. We are in our essence, in our humanity, perfectly comfortable with inconveniencing others. That's how we are born. That's how we grow. That's how we develop.Well, I choose to retain the ability to inconvenience the irrational. You know I had a cancer in me last year and I'm very glad that the surgeons knife and the related medicines that I took proved extremely inconvenient to my cancer and I bet you my cancer was like Aw shit. I hate this stuff man. Good. I'm only alive because medicine and surgery was highly inconvenient to the cancer within me. That's the only reason I'm alive.So, be who you are. If that's inconvenient to other people that's their goddamn business, not yours. Do not kill yourself because other people are dead. Do not follow people into the grave. Do not atomize yourself because, others have shredded themselves into dust for the sake of their fears and their desire to conform with the history of the dead.",Right
11903,Stefan Molyneux,"To be exploited fundamentally means to be confused. When you're not confused you can't be exploited because you have clarity about the situation. To confuse people you must provide contradictory information. People who really want to do you harm will provide you confusing measures of good and bad feedback because that keeps you disorientated. Evil always want to camouflage itself as virtue witch means all the bad things that evil does is called justice against immorality. So they camouflage their brutality as a mask of virtue. Camouflage is so fundamentally an aspect of the predator-prey relationships. The mugger does not camouflage himself but, that's because he can leave. He is gonna run off and you'll never find him or catch him or at least that's the goal or plan right? The relationships were you're supposed to stay and continue to provide resources are the ones were camouflage is the most essential because you're constantly looking at somebody who is a predator and that have to continually camouflage themselves as somebody who is not a predator. The most fundamental thing is the camouflage of non-empathy with empathy. This is why people who lack empathy always use the language of empathy and that's whats so confusing.There are a lot of great antidotes to this. I mean, you just ask that person questions about yourself that they dont have any self interest in knowing and find out whether they know the answers. All the things personal to you that dont have any direct impact on the other person. It's a great way to find out whether they have empathy or curiosity about you or not.",Right
11904,Stefan Molyneux,"The entire Nazi war machine was only possible because of past, present and future violations of the non aggression principle (achievable only through government).",Right
11905,Stefan Molyneux,"A man goes to a foreign country and kills somebody who's not aggressing against him; in a Hawaiian shirt he's a criminal, in a green costume he's a hero who gets a parade and a pension. So that, as a culture, we remain in a state of moral insanity. To point out these contradictions to people in society is to be labeled insane. This is how insane society remains, that anybody who points out logical opposites in the most essential human topic of ethics, is considered to be insane.",Right
11906,Stefan Molyneux,The goal of parenting is to create self-sufficient virtues in children. Applying external pressure and punishments tends to teach them fear-based compliance rather than the internalization of moral standards.,Right
11907,Stefan Molyneux,History has been stolen from us and replaced with guilt inducing lies.,Right
11908,Stefan Molyneux,"You are born into this world without choice, into a familial, social, educational, political and geographical environment that is merely accidental. And for the rest of your life, everyone will try to convince you that you are responsible for this accident.",Right
11910,Stefan Molyneux,"If you cannot escape your prison, then you might as well imagine that you’re free.",Right
11911,Stefan Molyneux,Service to the country is considered a virtue – although the net beneficiaries of that service are always those who rule citizens by force. In,Right
11912,Stefan Molyneux,The avoidance of pain is the avoidance of life.,Right
11913,Stefan Molyneux,"Countries adopting free-market capitalism have increased output 70-fold, halved work days and doubled lifespans.",Right
11914,Stefan Molyneux,The processing of universals is the job of the unconscious. If we feed it the opposite it breaks; when it breaks we break and the people around us break.,Right
11915,Stefan Molyneux,"We have to HIDE from each other because we think that we are the only ones BROKEN. We think we're the only ones whose original selves we ground up and smashed under the jack-booted heel of cultural lies and superstition, patriotism, war lust, war hunger, and a denial of AGGRESSION AGAINST CHILDREN THAT IS THE FOUNDATION OF CULTURE. Culture is everything that is NOT TRUE. If it's true, it's called 'math' or 'science' or 'facts'. Culture is the Stockholm syndrome we have with the historical lies that are convenient to the rules. We love the lies, because we don't think we can be loved if we don't.",Right
11916,Stefan Molyneux,"If we value human life – as any reasonable and moral person must – then fearing anarchists rather than political leaders is like fearing spontaneous combustion rather than heart disease. In the category of causing deaths, a single government leader outranks all anarchists tens of thousands of times.",Right
11917,Stefan Molyneux,To create a State and give it the power of life and death does not solve the problem of human evil. It merely transforms the shallow desire for easy property to the bottomless lust for political power.,Right
11918,Stefan Molyneux,"M ost of us are raised as slaves. Our opinions are rarely sought, rules are rarely explained – and moral rules never are – we are shipped off to schools where we are treated disrespectfully; our subservience is bought with rewards, and our independence is punished with detentions. Scepticism and curiosity are scorned and belittled, while empty abilities like throwing balls, learning dates, sitting still and being pretty are praised and elevated.",Right
11919,Stefan Molyneux,"The reason that philosophy is so essential is that if we don’t use it, it is used against us in the service of evil to enable the murder and enslavement – literally – of billions.",Right
12180,Stefan Molyneux,"However, DROs as a whole really need to keep track of people who have opted out of the entire DRO system, since those people have clearly signaled their intention to go rogue and live off the grid. Thus if you cancel your DRO insurance, your name goes into a database available to all DROs. If you sign up with another DRO, no problem, your name is taken out. However, if you do not sign up with any other DRO, red flags pop up all over the system. What happens then? Remember – there is no public property in a stateless society. If you’ve gone rogue, where are you going to go? You can’t take a bus – bus companies will not take rogues, because their DRO will require that they take only DRO-covered passengers, in case of injury or altercation. Want to fill up on gas? No luck, for the same reason. You can try hitchhiking, of course, which might work, but what happens when you get to your destination and try to rent a motel room? No DRO card, no luck. Want to sleep in the park? Parks are privately owned, so keep moving. Getting hungry? No groceries, no restaurants – no food! What are you going to do?",Right
12181,Stefan Molyneux,"However, to believe that some ancient and fantastical Jewish zombie died for their sins, and that they are trailed and judged by an omnipresent and invisible ghost, and that they need to eat and drink symbolic flesh and blood to commune with some universal and incorporeal mind – well, that takes an enormous amount of propaganda, bribery, and bullying. Religion is an entirely artificial oppositional solution to the question of existence and ethics. It must be repetitively and aggressively inflicted on children, because it scarcely comes naturally to them at all.",Right
12182,Stefan Molyneux,"However, prejudice against anarchists – much like prejudice against atheists – is one of the last remaining acceptable bigotries in the world. We cannot judge any group negatively – except a group that relies on reason, evidence, and non-violence.",Right
12183,Stefan Molyneux,The entire point of a new theory is that it is unprecedented; the first man to invent a jet aircraft could scarcely submit examples of jet aircraft flying in the past.,Right
12184,Stefan Molyneux,"As a philosophy, utilitarianism is the argument you can objectively determine what is the greatest good for the greatest number of people and we need the state to achieve that end.",Right
12185,Stefan Molyneux,"Because taxes are so high - in part to pay for state-serving science experiments, a lot of parents feel they both need to work and so the mum can't breastfeed her kid. These fucking scientists, these fucking fascist corporations, these fucking warmongers, these military industrial clusterfucks, these arsehole academics are literally profiting from the ripping of mothers milk out of the mouths of babes.",Right
12186,Stefan Molyneux,"If you can't share what's important to you with the people around you, then you have no relationships. It's all just proximity, and turkey, and sports, and weather, and bullshit.",Right
12187,Stefan Molyneux,"Invading a statist society is like grabbing the cages of a large number of trapped chickens – you get all of the eggs in perpetuity. Invading a stateless society is like taking a sprint at a flock of seagulls – all they do is scatter, and you get nothing, except perhaps some crap on your forehead.",Right
12188,Stefan Molyneux,"The act of war is itself an attempt to achieve political ends through the use of violence – the annexation of property, the capturing of a new tax base, or the overthrow of a foreign government – and it always requires a government that is willing and able to increase the use of violence against its own citizens, through tax increases and/or the military draft.",Right
12189,Stefan Molyneux,"It is impossible to maintain fantasy in the face of true emotional intimacy. Fantasy alienates, disconnects, and isolates people. Fantasy and cults isolate people. Fantasy is a cult. Weather that fantasy is nationalism, racism, or religiosity. It isolates people because there is so much you can't talk about. Once you make an ideal, the possible intimacy becomes impossible. The whole world recoils from depth because in depth is common humanity. In depth we are all one. We all shit, fart, fuck, die, think fear, love, and hate. All hierarchy must alienate people from connecting with each other from speaking openly and honestly about thoughts and feelings. To connect is to dislodge the imaginary pyramids of artificial privilege.",Right
12190,Stefan Molyneux,"Those suffering from terminal falsehood seek out each other, like a drunk seeks out a wall so that he doesn't fall down.",Right
12191,Stefan Molyneux,"A philosopher is someone who promotes moral excellence, argues for moral excellence, and gets other people to behave morally and excellently based on those arguments.",Right
12192,Stefan Molyneux,which is another way of saying that people will pay good money to avoid the demands of virtue,Right
12193,Stefan Molyneux,"They did the best they could with the knowledge they had. How the fuck did people know that? They didn't have no way of knowing that. Even if they did the best they could with the knowledge they had, why the hell didn't they have better knowledge? I mean, then nobody should ever fail an exam because everyone who Wright's an exam is doing the best they can with the knowledge they have. If I don't study for geography exam then I flunk out. Can I then say wait, just like the people who get a A I was doing the best I could with the knowledge I had. That's not an excuse for a 6 year old with a goddamn spelling B. How the hell is it an excuse for parents in full control of a developing human mind?If you don't study for the exam you fucking fail and if you don't study for parenting you fucking fail. You don't get to say that you did the best you could with the knowledge you had. Fuck that. That's a bullshit cop-out. You goddamn will study. It's a little more important raising a child than passing a spelling B when you're 6 goddamn years old. You goddamn will study and if you don't study youre more culpable.",Right
12194,Stefan Molyneux,"A theoretical social state in which there is no governing person or body of persons, but each individual has absolute liberty (without implication of disorder).",Right
12195,Stefan Molyneux,"We can't leave the past in the past because, the past is who we are. It's like saying I wish I could forget English. So, there is no leaving the past in the past. It doesn't mean the past has to define and dominate everything in the future. The fact that I had a temper in my teens doesn't mean I have to be an angry person for the rest of my life. It just means that I had allot to be angry about but, didn't have the language and the understanding to know what it was and how big it was. I thought my anger was disproportionate to the environment which is what is called having a bad temper but, it just means that I underestimated the environment and my anger was telling me how wide and deep child abuse is in society but, I didn't understand that consciously so I thought my anger was disproportionate to the environment but, it wasn't. There is almost no amount of anger that's proportionate to the degree of child abuse in the world. The fantasy that you can not be somebody that lived through what you lived through is damaging to yourself and to your capacity to relate to others. People who care about you, people who are going to grow to love you need to know who you are and that you were shaped by what you've experienced for better and for worse. There is a great deal of challenge in talking about these issues. Lots of people in this world have been hurt as children. Most people have been hurt in this world as children and when you talk honestly and openly it's very difficult for people. This is why it continues and continues.If you can get to the truth of what happened if you can understand why people made the decisions they've made even if you dont agree with the reason for those decisions knowing the reasons for those decisions is enormously important in my opinion. The more we know the truth of history the more confidently we can face the future without self blame.",Right
12196,Stefan Molyneux,"I would respect feminist who said Single moms, are you kidding me? Stop taking government benefits because, the government is the patriarchy. So, you are taking things from the patriarchy so you dont have to be responsible. Any woman who takes money from the government using cops who usually extract it from men by force is not a feminist. Is a exceedingly bad bride of the state. I would admire that but, of course feminism doesn't have anything to do with any of that stuff.Look, it's fine. Have your fun. Make fun of men. Go for it. Yea, we're all idiots, we're all selfish, greedy bastards. Ok, it's fine because the government is going to run out of money soon and then all these woman are going to try to find some guy to latch onto when the benefits stop flowing and I mean, you saw this happening with the soviet union. Now we need you! You guys are great! We missed you so much! Give me some money!It's just a bunch of noise from a bunch of people who are stealing from the productive.",Right
12197,Stefan Molyneux,Self-manipulation is our medication. Mythology is our drug. The only cure is honesty.,Right
12198,Stefan Molyneux,"Any time a system that justifies power can be conceived of running without that power, all those who profit from the manipulation of that power cry out that without them, all is lost.",Right
12199,Stefan Molyneux,"If I say that I need the government to protect my property, but that the government is by definition a group of people who can violate my property rights at will, then I am caught in an insurmountable contradiction. I am saying that my property rights must be defended – and then I create an agency to defend them that can violate them at any time. This",Right
12460,Stefan Molyneux,"Clearly, there exists an entire class of people who gain immense profit, prestige and power from the existence of the government. It is equally true that, as a collective, these people have enormous control and influence over the minds of children, since it is that same government that educates virtually every child for six or more hours a day, five days a week, for almost a decade and a half of their formative years. To analogize this situation, can we imagine that we would be at all surprised that children who came out of 14 years of religious indoctrination would in general believe in the existence and virtue of God? Would we be at all surprised if the strong arguments for atheism were left off a curriculum expressly designed by the priests, who directly profit from the maintenance of religious belief? In fact, we would fully expect such children to be actively trained in the rejection of arguments for atheism – inoculated against it, so to speak, so that they would react with scorn or hostility to such arguments.",Right
12461,Stefan Molyneux,"The statist looks at a population and sees an irrational and selfish horde that needs to be endlessly herded around at gunpoint – and yet looks at those who run the government as selfless, benevolent and saintly. Yet these same statists always look at this irrational and dangerous population and say: You must have the right to choose your political leaders! It is truly an unsustainable and irrational set of positions.",Right
12462,Stefan Molyneux,"if human beings are in general too irrational and selfish to work out the challenges of social organization in a productive and positive manner, then they are far too irrational and selfish to be given the monopolistic violence of state power, or vote for their leaders.",Right
12463,Stefan Molyneux,"One simple and basic fact of life is that no individual – or group of individuals – can ever be wise or knowledgeable enough to run society. Our core fantasy of government is that in some remote and sunlit chamber, with lacquered mahogany tables, deep leather chairs and sleepless men and women, there exists a group who are so wise, so benevolent, so omniscient and so incorruptible that we should turn over to them the education of our children, the preservation of our elderly, the salvation of the poor, the provision of vital services, the healing of the sick, the defense of the realm and of property, the administration of justice, the punishment of criminals, and the regulation of virtually every aspect of a massive, infinitely complex and ever-changing social and economic system. These living man-gods have such perfect knowledge and perfect wisdom that we should hand them weapons of mass destruction, and the endless power to tax, imprison and print money – and nothing but good, plenty and virtue will result.",Right
12464,Stefan Molyneux,"We can never be closer to others than we are to ourselves, and we can never be closer to ourselves than we are to the truth – the truth leads us to personal authenticity; authenticity leads us to intimacy, which is the greatest joy in human relations.",Right
12465,Stefan Molyneux,"Since human beings do in fact have equal rights of property, any social system which rejects this right is doomed to utter failure – just as any bridge planner who rejects the reality of gravity will never be able to build a bridge that stands.",Right
12466,Stefan Molyneux,"When we speak of gods, we are really talking about the opinions of priests. When we speak of the government, we really mean the violence of a tiny minority.",Right
12467,Stefan Molyneux,"When it comes to government as it is – and all that government ever could be – we are never really talking about two sides of the table. You get a letter in the mail informing you that your property taxes are going to increase 5% – there is no negotiation; no one offers you an alternative; your opinion is not consulted beforehand, and your approval is not required afterwards, because if you do not pay the increased tax, you will, after a fairly lengthy sequence of letters and phone calls, end up without a house. It is certainly true that your local cable company may also send you a notice that they’re going to increase their charges by 5%, but that is still a negotiation! You can switch to satellite, or give up on cable and rent DVDs of movies or television shows, or reduce some of the extra features that you have, or just decide to get rid of your television and read and talk instead. None of these options are available with the government – with the government, you either pay them, give up your house, go to jail, or move to some other country, where the exact same process will start all over again.",Right
12468,Stefan Molyneux,"Dear Valued Customer: Your cable bill is now increasing 5% per month. You cannot cancel your cable. Ever. You cannot reduce your bill in any way. If you turn off your cable, your bill will remain exactly the same. If you rip your cable out of the wall, your bill will remain exactly the same, with the exception that we will charge you for the damage. Your children will be unable to cancel your cable contract. Also, please note that we will be reducing our delivery of channels by approximately 1 every month. As we deliver fewer channels, you can anticipate that your bill will sharply increase. If you do not pay your bill on time, the ownership of your house will revert to us, and we will lock you in an undisclosed location, where you will be forced to do tech support, and where we will be unable to protect you from assault and rape. If you attempt to defend yourself when we come to take your house, we are fully authorized to gun you down. Sincerely, The Statist Cable Company",Right
12469,Stefan Molyneux,"is a truism – and I for one think a valid one – that the simple mind sees everything in black or white. Wisdom, on the other hand, involves being willing to suffer the doubts and complexities of ambivalence. The dark-minded bigot says that all blacks are perfidious; the light-minded bigot says that all blacks are victims. The misogynist says that all women are corrupt; the feminist often says that all women are saints.",Right
12470,Stefan Molyneux,"If a democratic government must force a selfish and unwilling populace to help the poor, then government programs do not reflect the will of the people, and democracy is a lie, and we must get rid of it – or at least stop pretending to vote.",Right
12471,Stefan Molyneux,"Given the degree of feedback available to the average citizen of a democracy, it makes little sense to agitate for changing the system as a whole. Since the system is so flexible and responsive, it is impossible to imagine that it can be replaced with any system that is more flexible – thus the practical ideal for anyone interested in social change is to bring his ideas to the marketplace of democracy, see who he can get on board, and implement his vision within the system – peacefully, politically, democratically. This is a truly wonderful fairy tale, which has only the slight disadvantage of having nothing to do with democracy whatsoever.",Right
12472,Stefan Molyneux,"It is very hard to understand the logic and intelligence of the argument that, in order to protect us from a group that might overpower us, we should support a group that already has overpowered us. It",Right
12473,Stefan Molyneux,"Society is really an ecosystem of agreed-upon premises or arguments, usually based on tradition. Those who accept the truth of these arguments find their practical course through the existing social infrastructure enormously eased; they do not ask people to really think, they do not discomfort others with uncomfortable truths, and thus what passes for discourse in the world resembles more two mirrors facing each other – a narrow infinity of empty reflection, if you will pardon the metaphor.",Right
12474,Stefan Molyneux,"The finger-wagging admonition, Rape more gently, is oxymoronic. Rape is the opposite of gentle, the opposite of moral. This is how many anarchists view the proposition that the existing system of political violence should be reformed somehow from within, rather than fundamentally opposed on moral terms, as an absolute evil, based on coercion and brutality, particularly towards children – with the inevitable consequence that its only salvation can come from being utterly abolished.",Right
12475,Stefan Molyneux,"Since theft is the forcible removal of somebody else’s property without consent, then taxation is always, universally and forever a moral evil. Taxation",Right
12476,Stefan Molyneux,The best way to destroy the decrepit is to build the glorious.,Right
12477,Stefan Molyneux,"If you have a really good ideas, one thing you dont need is a fucking gun. An iPad is a kind of a cool thing. They don't need to threaten you with fines to get you to buy one do they? The moment the government says they're gonna force you to do something, you know its a bad idea. If someone invites you on a date with chloroform, an old sofa, and a windowless van, it's not a date.So, the fact that ObamaCare, welfare state, military industrial complex, public schools - you name it. The fact that it has to be imposed at gunpoint is a clue that it's shit. Recognize that when there is a gun to your face, there is not a very advantageous human being on the other end.",Right
12478,Stefan Molyneux,"Most people, if philosophy touches them, they shatter, they atomize, they turn to dust. It is win/lose between philosophy and delusion, and most people are almost entirely composed of delusion. They're only allowed as much reality as serves the masters. But they're not allowed any reality which disturbs their masters...",Right
12479,Stefan Molyneux,The star-shreds that aggregated into the most improbable and miraculous explosion of your consciousness should be appreciated with more noble sentiments than resentment and depression.,Right
12740,Stefan Molyneux,"The price of getting men to fight is giving them respect. Men will fight to protect women they love, men will fight to protect children they have fathered, for obvious reasons, both moral and biological, but where a man is not respected, where men are 'cucked' . . . if men utilized and turned into a form of captive livestock, if men are enslaved to female vanity, protectiveness, emotional self-defense, what happens is men don't love their societies anymore because society is not giving them respect. The men are in the same relationship to society as an abused woman is to an abusive man. There may be attachment, an unwillingness or lack of capacity to escape, but there's no love.",Right
12741,Stefan Molyneux,"Record what you can, pursue your passions, connect with the world, fight the good fight, defy evil, shine incandescently as best you can. And it doesn't matter what field it's in but, it does matter that we leave something that accumulates over time.",Right
12742,Stefan Molyneux,"The word rights, is something that governments need to provide you and protect you from but, the governments are the basic violators of all human rights.",Right
12743,Stefan Molyneux,Civilization is the general agreement to refrain from resorting to violence if negotiations fail.,Right
12744,Stefan Molyneux," What do woman say to little boys?  Stop fighting. Stop being so rough. Stop rough housing. They're boys you know, that's kinda what they're sapossed to do. So, men are sapossed to overcome all these biological drives and I'm just really interested in helping women overcome theirs caus' I think the spotlight of  Outgrow your bestial nature. has been pointed just a little bit too long at men and I think it's time to swivel that motherfucker around and point it at woman and say stop making yourself look like fucking sex clowns to milk money out of men's dicks. Stop lying about who you are and what you're about. Stop being flirty, manipulative, and trying to be sexy. Just stop doing it. It's time for women to outgrow biology just as men have been instructed to for about the last 20,000 years to outgrow their biology. Stop slamming doors. Stop yelling. Stop climbing trees. Stop being rude. Stop farting. Stop enjoying fart jokes. Just stop being men. Ok, Well; women stop being women. Be people. Be people who have sex, absolutely but, don't be caricatures. Don't aim to be like a woman who looks like the outline of some playboy mudflap on a trucker's rig. Just be people. Be sexual. Enjoy your sexuality and bodies but, stop trying to bury us in tits so that we pass out and you can rifle through our bank accounts. Just stop doing that shit. I won't enable it anymore. Why does your face have to look like some half rained on Picasso water color? I don't need rainbows on the face of a woman. I don't need these weird butterfly wing goth eyebrows and shit like that. Male sexuality is demonized and female sexuality is elevated. That's bullshit. Then women wonder why men prefer porn to them. It's caus' porn doesn't nag you for wanting stuff that's defined as kinky or weird. Male sexuality is demonized and held in low esteem. Woman's sexuality is always beautiful. Woman's sexuality is unremitting shallow. I'm not saying men's isn't but, we know that about men, right? What turns women on? Women say confidence. Do you know what that means? Money. Do women say  He is really confident about his sidewalk art. He is really confident about his subway busking. That's such a turn on! Why do men like looking at naked women and women get turned on looking at clothed men? Because if a man's clothes aren't on you don't know how expensive his wardrobe is. This is what Mohammad Ali said. I'm going to throw on some old jeans and a old t-shirt and I'm just gonna walk down into some little town and find some woman who doesn't know who the hell I am and then when she's fallen in love with me and we get married, I'm going to take her to my million dollar mansion and my yacht. This is the reality. Once you start having money, once you start having power, then the true nature of massive swaths of female sexuality becomes clear.",Right
12745,Stefan Molyneux,"As the old saying went in the Soviet Union, They pretend to pay us, and we pretend to work.",Right
12746,Stefan Molyneux,Human beings have a deeply seated desire to correct others. We can be noble and say that this is for the cause of moral instruction and the improvement of the minds and choices of others across the globe – and on occasion this may actually be the case. But the reality is that human beings like to correct other human beings because it is a non-violent way to control them.,Right
12747,Stefan Molyneux,"we must remember to compare a stateless society not to some perfect utopia, but rather to existing statist societies. Are people currently unjustly sent to prison? You bet. Are non-violent drug users jailed? Yes, by the millions. Do some people pretend to confess to less grievous crimes because they are threatened with terrifying sentences if they do not? Of course. Do the police manufacture evidence? Yes. Are policemen rewarded for preventing crimes, or obtaining convictions? The latter.",Right
12748,Stefan Molyneux,"Deductive reasoning goes from the general to the specific – Socrates is mortal – because that is what predators do. If you were to program a lion with syllogisms, it might come out something like this: I am hungry. My hunger is satisfied with meat. All zebras are made of meat. The slowest zebras are the easiest to catch. I will stalk and chase the slowest zebra. This zebra is the slowest zebra; I will stalk and chase this one. You see how this works? The lion is going from the general to the specific – from all zebras to one particular zebra that satisfies the criterion for appeasing the lion’s hunger.",Right
12749,Stefan Molyneux,"If society gave everything that a poor person could possibly require in order to live comfortably, that would scarcely reduce the numbers of poor people, but would rather increase them considerably.",Right
12750,Stefan Molyneux,Anarchists understand that the only valid and proven way to oppose human corruption is through voluntarism and competition – statists believe that the only way to oppose human corruption is to create a monopoly of violent power.,Right
12751,Stefan Molyneux,The story of the progress of human morals is almost entirely populated by people who did not live to see the world that they loved in their minds.,Right
12752,Stefan Molyneux,"In the statist paradigm, we listen only to God and obey His commandments. In the anarchist paradigm, God also listens to us, and we negotiate as equals.",Right
12753,Stefan Molyneux,"The world will be free of the State when we finally see that the State is inferior to all of our personal and professional relationships. When we are completely used to thinking in terms of mutual advantage, the violent exploitation of the State will finally become clear to us, and it will fall away.",Right
12754,Stefan Molyneux,Perfection is invented by evil people to paralyze you.,Right
